name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Cycle Missile Feeds,A_S-F_cyclemissilefeed,,,,,,0.3,,,,1,0,0,8,,,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png
Shackle Drones,A_S-F_drone_shackle,,,,,,,,20,0.04,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Chronostutter,A_S-F_chronostutter,1,,,,,0.25,,2,0.0666,0.75,3.25,0.5,1,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Adaptive Burst,A_S-F_AdaptiveBurst,1,,,,,,,,,0.5,3,2,8,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Cycle Temporal Core,A_S-F_temporalCore,,,0.1,,,0.1,,2,0.04,0.5,3,5.5,2,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Dimensional Teleporter,A_S-F_dimensionalteleporter,,,,,,0.15,,,,0.3,,0.3,4.9,,,,,,,,,,,,,graphics/icons/hullsys/displacer.png
Manacle Drones,A_S-F_drone_manacle,,,,,,,,24,0.04,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Hypershot Munitions Feed,A_S-F_hypershot,,,,,,,,2,0.0625,0.5,2,1,1.5,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Burst Loader,A_S-F_loaderOverdrive,,,,,,,,2,0.05,0.5,1,1,4,,,,,TRUE,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Priority Targeting,A_S-F_priorityTargeting,,,,,,,,2,0.05,0.5,3,1,3,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Hypershot Munitions Feed,A_S-F_hypershot_grandum,,,,,,,,2,0.05,0.5,3.5,1,2,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
AURA System,A_S-F_AURA,,,,,,,,2,0.05,1,2,1.5,2.5,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Heavy Quantum Disruptor,A_S-F_disruptor,,,,,,0.2,,2,0.05,0.5,,1,4,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Temporal Burn,A_S-F_temporalBurn,1,,,,,,,,,1.5,4,1,8,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Temporal Micro-Burn,A_S-F_temporalBurn_nebel,1,,,,,,,2,0.05,1.2,2,0.8,0.5,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Lynx Jets,A_S-F_rinkaJets,,,,,,,,2,0.08,0.8,3.4,0.8,0.2,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Amita Drive,A_S-F_amitaDrive,,,,,,,,,,1,6,1.5,12.5,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Quick Boost,A_S-F_quickBoost,,,,,,,,2,0.125,0.25,0.25,1,0.5,,,,TRUE,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Quick Boost,A_S-F_quickBoost_3,,,,,,,,3,0.125,0.25,0.25,1,0.5,,,,TRUE,,,,,,,,,graphics/icons/hullsys/burn_drive.png
AURA Feed,A_S-F_AURA_feed,,,,,,,,2,0.05,1,2.5,2,2.5,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Active Flare Launcher,A_S-F_flarelauncher_anom,,,,,,,,,,,,,4,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
Ballistic Overdrive,A_S-F_rangdaSys,200,,,,,,,,,5,,3,5,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Unhinge Chronoflow,A_S-F_unhingeChronoflow,1,,,,,0.2,,,,4,12,3,14,,,,,,,,,,FALSE,,,graphics/icons/hullsys/temporal_shell.png
Drone Screen,A_S-F_drone_screen,,,,,,,,32,0.08,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Light Canister Flak,A_S-F_light_canister_flak,,,,,,,,2,0.0666,,,,5,,,,,,,,,,,,,
Infernium Afterburner,A_S-F_floggerBurn,1,,,,,,,2,0.08,0.7,0.7,0.8,,,,,,,,TRUE,,TRUE,,,,graphics/icons/hullsys/burn_drive.png
EMP Emission,A_S-F_empEmission,,,,800,,,,4,0.1666,0.25,,0.05,0.2,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Clavata Drones,A_S-F_drone_clavata,,,,,,,,8,0.1,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Flux-Assault System,A_S-F_fluxAssault,,,,,,,,3,0.0666,0.25,2,1.75,0,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Flak Screen,A_S-F_flak_screen,,,,,,,,2,0.0555,,,,4.5,,,,,,,,,,,,,
Ammon Drones,A_S-F_ammon_deploy,,,,,,0.15,,2,0.08,0,0.1,0,2.5,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
