name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Serendipity,bc_antiquecruiser,Phase Cruiser,Antique,bc_displacer,19,6700,700,8000,12000,1000,170,,35,10,10,15,10,2000,PHASE,phasecloak,90,,,0.04,0.055,190,230,75,75,15,,8,178000,3,15,180,0.25,45,45,,,,,,,"HIDE_IN_CODEX,","merc, antique_bp, hist2t",,0.3,3,5,,
Verisimilitude,bc_antiquedestroyer,Fast Destroyer,Antique,bc_antique_traveldrive,15,3890,670,5300,5300,500,80,,140,170,150,25,50,540,FRONT,,270,0.3,0.72,,,65,70,30,30,6,,9,92000,4,14,220,0.25,20,20,,,,,,,"HIDE_IN_CODEX,","merc, antique_bp, hist2t",,0.3,2,3,,
Kenodoxy,bc_antiquecarrier,Carrier,Antique,bc_flarelauncher_active,9,2700,450,2450,5000,100,55,2,55,25,15,45,25,400,FRONT,,270,0.3,0.78,,,55,80,30,30,3,,8,88900,5,13,220,0.25,16,16,,,,,,,"HIDE_IN_CODEX, CARRIER","merc, antique_bp, hist2t",,0.3,2,3,,
Limerence,bc_antiquefrigate,Cannon Frigate,Antique,maneuveringjets,8,2870,545,3000,3000,140,20,,150,80,60,50,60,280,FRONT,,120,0.3,0.7,,,25,35,25,25,1,,10,64000,5,13,220,0.25,14,14,,,,,,,"HIDE_IN_CODEX,","merc, antique_bp, hist2t",,0.3,2,3,,
Lacustrine,bc_antiquefrigate_alt,Cannon Frigate,Antique,maneuveringjets,7,3000,545,3000,3000,140,30,,160,80,60,50,60,280,FRONT,,120,0.3,0.7,,,20,35,25,25,1,,10,60000,5,13,220,0.25,12,12,,,,,,,"HIDE_IN_CODEX,","merc, antique_bp, hist2t",,0.3,2,3,,
Kenosis,bc_antiqueshuttle,Missile Shuttle,Antique,bc_flarelauncher_active,6,2750,450,2000,2000,120,45,,170,140,120,50,60,240,FRONT,,120,0.3,0.78,,,15,40,20,20,1,,10,45000,7,15,220,0.25,8,8,,,,,,,"HIDE_IN_CODEX,","merc, antique_bp, hist2t",,0.3,2,3,,
Raschel,bc_raschel,Heavy Frigate,Low Tech,burndrive,7,3000,500,4000,,200,50,,80,25,20,90,45,300,FRONT,,270,0.5,1,,,20,25,30,30,1,,9,19550,12,12,360,0.25,6,6,,,,,,,,"lowtech_bp, merc, hegemony",,0.5,2,2,,
Ranine,bc_ranine,Frigate,Low Tech,burndrive,8,2000,450,2000,,210,40,,100,35,20,45,40,225,OMNI,,120,0.5,1,,,18,23,25,25,1,,10,16900,11,16,300,0.25,4,4,,,,,,,,"lowtech_bp, merc, hegemony",,0.5,2,2,,
Killdove,bc_racingeagle,Fast Cruiser,Midline,bc_harpy_traveldrive,13,6700,1000,10500,,600,145,,70,60,50,30,50,1200,FRONT,,220,0.4,0.8,,,145,220,150,100,4,,9,128000,3,16,480,0.25,24,24,,,,,,,,,,0.5,2,3,,
Dram (P),bc_piratedram,Converted Gunboat,Pirate,flarelauncher,8,750,400,1850,,125,35,,120,70,50,30,60,230,OMNI,,90,0.5,1.2,,,15,20,15,30,1,,9,9600,6,25,180,0.25,2,2,,,,,,,,"pirate_bp, pirates",,0.9,2,4,,
Calix,bc_salvager,Salvager,Low Tech,burndrive,2,2450,900,1000,,120,20,,45,20,15,30,15,300,FRONT,,150,0.5,1,,,10,25,30,30,1,,8,15000,8,30,360,0.25,2,2,,,,,,,CIVILIAN,,,0.5,2,2,,
Otsoa,bc_combatfreighter,Combat Freighter,Low Tech,flarelauncher,8,3500,550,2250,,250,70,,80,100,75,50,120,400,NONE,,0,0,0,,,30,60,200,60,2,,9,19000,7,12,240,0.25,8,8,,,,,,,"CIVILIAN, COMBAT","lowtech_bp, independent",,0.3,2,2,,
Attendant,bc_egg,Escort Destroyer,High Tech,flarelauncher_active,9,2450,450,5000,,300,35,,80,100,80,90,100,420,OMNI,,270,0.4,0.66,,,30,40,50,50,2,,8,27000,10,20,300,0.25,16,16,,,,,,,,"hightech_bp, merc",,0.5,2,3,,
Varact,bc_varact,Frigate,Recovered,maneuveringjets,5,1850,400,2000,,130,60,,110,110,90,60,90,210,FRONT,,210,0.4,0.88,,,20,30,30,30,1,,10,9000,8,10,240,0.25,6,6,,,,,,,,,,0.5,2,2,,
Malefactor,bc_heavycruiser,Heavy Cruiser,Low Tech,canister_flak,16,15000,1600,8000,,450,175,,20,10,8,8,5,2450,NONE,,0,0,0,,,230,320,150,150,6,,7,105000,4,10,540,0.25,28,28,,,,,,,,"lowtech_bp, merc",,0.4,2,3,,
Noble,bc_hightech_carrier,Carrier,High Tech,plasmajets,10,2800,250,3200,,150,50,2,80,100,80,35,80,250,OMNI,,150,0.3,0.7,,,35,50,40,60,2,,10,45000,5,15,300,0.25,12,12,,,,,,,CARRIER,"hightech_bp, merc, independent, tritachyon",,0.7,2,3,,
Vamplate,bc_oldfrigate,Destroyer,Recovered,bc_drone_pd_matrix,8,2000,300,2500,,320,55,,100,55,40,45,35,210,FRONT,,160,0.4,0.7,,,45,55,30,30,2,,9,18000,6,20,300,0.25,10,10,,,,,,,,"merc, independent",,0.5,2,2,,
Vardingale,bc_oldtransport,Fast Courier,Recovered,bc_drone_shield,3,2000,600,1000,,80,25,,130,130,115,120,120,195,NONE,,0,0,0,,,3,20,40,30,1.5,,10,10000,4,18,300,0.25,3,3,,,,,,,"CIVILIAN, FREIGHTER","merc, independent",,0.5,2,2,,
Velate,bc_olddestroyer,Heavy Destroyer,Recovered,bc_drone_heavy_shield,15,3400,700,4000,,380,65,,85,45,30,20,10,265,FRONT,,180,0.4,0.7,,,55,70,45,45,2.5,,8,80000,5,24,300,0.25,15,15,,,,,,,,"merc, independent",,0.5,2,3,,
Vendition,bc_oldcruiser,Cruiser,Recovered,bc_drone_missile,18,7000,780,7000,,430,145,,35,25,20,20,15,365,FRONT,,180,0.4,0.7,,,125,150,70,70,3.5,,8,100000,4,26,300,0.25,30,30,,,,,,,,"merc, independent",,0.5,3,4,,
Tibia,bc_skeleton,Scrap Frigate,Makeshift,burndrive,3,860,55,1700,,140,30,,220,300,270,270,200,120,NONE,,0,0,0,,,3,25,30,30,1,,10,2000,25,12,260,0.25,2,2,,,,,,,,"independent, pirate",,0.6,2,2,,
Porbeagle,bc_midlinefrigate,Heavy Frigate,Midline,bc_strikeburn,8,1800,345,1900,,155,60,,120,100,80,90,80,400,FRONT,,200,0.4,0.8,,,45,90,80,60,2.5,,10,19000,5,12,360,0.25,10,10,,,,,,,,"midline_bp, merc, persean",,0.5,2,3,,
Chosen,bc_midlinebricc,Heavy Cruiser,Midline,bc_strikeburn,16,10000,1200,11000,,520,170,,25,8,6,8,6,1670,FRONT,,270,0.4,0.8,,,240,350,150,170,5,,7,135000,4,12,480,0.25,28,28,,,,,,,,"rare_bp, merc, persean",,0.5,2,4,,
Galliard,bc_galliard,Heavy Destroyer,Low Tech,burndrive,13,6800,1000,5000,,250,90,,100,80,60,30,40,560,PHASE,bc_canister_primary,0,0,0,,,65,85,70,40,3,,10,55000,5,12,420,0.25,15,15,,,,,,,,"merc, hegemony, lowtech_bp, luddic_church, knights_of_ludd",,0.4,2,3,,
Galliard (P),bc_galliard_p,Heavy Destroyer,Pirate,ammofeed,15,6800,1000,5000,,250,90,,100,80,60,30,40,560,NONE,,0,0,0,,,65,85,70,40,3,,10,55000,5,12,420,0.25,15,15,,,,,,,,"pirates, pirate_bp",0.75,0.4,2,3,,
Replevin,bc_salvagefrigate,Salvage Frigate,Midline,maneuveringjets,5,2100,355,1560,,150,32,,85,60,60,30,45,280,FRONT,,270,0.5,0.7,,,25,40,45,40,1,,9,13900,6,20,300,0.25,3,3,,,,,,,"CIVILIAN, COMBAT","independent, midline_bp",,0.5,2,2,,
Escapade,bc_escapade,Carrier,Low Tech,reservewing,10,8000,1050,4000,,200,115,3,35,10,8,10,6,13000,OMNI,,120,0.4,1,,,120,340,350,180,3,,7,85000,5,10,540,0.25,14,14,,,,,,,CARRIER,"merc, independent, lowtech_bp",,0.4,2,3,,
Gallize,bc_gallize,Line Frigate,Low Tech,bc_gallize_drone,7,4500,550,2100,,145,45,,100,60,30,20,30,350,FRONT,,120,0.5,1,,,45,55,40,40,1,,9,20000,6,12,400,0.25,6,6,,,,,,,,"merc, rare_bp, hegemony",,0.4,2,2,,
Hystricine,bc_lowtech_cruiser,Fast Cruiser,Low Tech,bc_ramburn,18,11500,1250,8000,,400,125,,45,20,12,15,12,3000,FRONT,,90,0.6,1,,,300,350,150,170,8,,8,106000,5,18,540,0.25,32,32,,,,,,,,"rare_bp, merc, luddic_church",,0.3,2,5,,
Hystricine (LP),bc_lowtech_cruiser_lp,Fast Cruiser,Luddic Path,bc_ramburn,18,11500,1250,8000,,400,125,,45,20,12,15,12,3000,FRONT,,90,0.6,1,,,300,350,150,170,8,,8,106000,5,18,540,0.25,32,32,,,,,,,,"rare_bp, luddic_path",,0.3,2,5,,
Jarl,bc_superfrig,Superfrigate,Low Tech,bc_hyperboost,11,2000,450,3000,,450,35,,80,180,150,90,150,300,NONE,,0,0,0,,,5,12,15,15,1,,10,68000,10,25,360,0.25,12,12,,,,,,,,rare_bp,,0.5,2,2,,
Norman,bc_phasetanker,Phase Tanker,Fays Co.,flarelauncher,2,1700,100,1800,,200,20,,150,150,125,60,100,250,PHASE,phasecloak,90,,,0.1,0.075,15,25,30,240,1,,9,12000,6,20,200,0.25,6,6,,,,,,,"CIVILIAN, TANKER","fays_bp, faysco, merc, independent",,0.5,2,2,,
Atticus,bc_phasefreighter,Phase Freighter,Fays Co.,flarelauncher,2,1700,80,2000,,150,20,,130,80,50,40,80,265,PHASE,phasecloak,90,,,0.1,0.075,15,35,180,25,1.2,,9,12500,7,25,200,0.25,6,6,,,,,,,"CIVILIAN, FREIGHTER","fays_bp, faysco, merc, independent",,0.5,2,2,,
Atticus (P),bc_phasefreighter_p,Phase Freighter,Pirate,flarelauncher,2,1700,80,2000,,150,20,,130,80,50,40,80,265,PHASE,phasecloak,90,,,0.1,0.075,15,35,180,25,1.2,,9,12500,7,25,200,0.25,6,6,,,,,,,"CIVILIAN, FREIGHTER","pirates, rare_bp",,0.5,2,2,,
Roland,bc_phasefrigate1,Phase Frigate,Fays Co.,interdictor,5,2000,160,2100,,180,40,,180,300,250,90,200,250,PHASE,phasecloak,90,,,0.1,0.075,10,20,20,25,1,,10,13400,5,25,200,0.25,5,5,,,,,,,,"fays_bp, faysco, merc",,0.5,2,2,,
Hester,bc_phasehauler,Phase Freighter,Fays Co.,flarelauncher,3,3000,100,3000,,250,40,,60,15,10,30,10,400,PHASE,phasecloak,90,,,0.1,0.05,35,50,650,100,5,,8,70000,2,25,270,0.25,20,20,,,,,,,"CIVILIAN, FREIGHTER","fays_bp, faysco, merc, independent",,0.5,2,2,,
Hester (P),bc_phasehauler_p,Phase Freighter,Pirate,flarelauncher,3,3000,100,3000,,250,40,,60,15,10,30,10,400,PHASE,phasecloak,90,,,0.1,0.05,35,50,650,100,5,,8,70000,2,25,270,0.25,20,20,,,,,,,"CIVILIAN, FREIGHTER","pirates, rare_bp",,0.5,2,2,,
Blevins,bc_phasedestroyer1,Phase Destroyer,Fays Co.,bc_heavy_emp,12,4000,400,3400,,320,55,,90,60,40,60,40,400,PHASE,phasecloak,90,,,0.1,0.05,30,50,35,35,3,,8,54000,5,25,240,0.25,18,18,,,,,,,,"fays_bp, faysco, merc",,0.5,2,3,,
Bertrand,bc_phasedestroyer2,Phase Destroyer,Fays Co.,bc_microjump,15,3500,750,2800,,400,55,,60,60,45,60,45,430,PHASE,phasecloak,90,,,0.1,0.05,45,60,35,35,4,,8,74000,4,30,200,0.25,20,20,,,,,,,,"fays_bp, faysco, merc",,0.5,2,3,,
Gunther,bc_phasefrigate2,Phase Frigate,Fays Co.,bc_shiftburn,5,2000,100,1900,,150,55,,170,130,100,60,120,200,PHASE,phasecloak,90,,,0.1,0.075,25,35,30,30,1,,10,11000,6,30,150,0.25,6,6,,,,,,,,"fays_bp, faysco, merc",,0.5,2,2,,
Tempest (FYS),bc_phasefrigate4,Phase Frigate,Fays Co.,drone_strike,10,1250,200,2500,,225,50,1,180,200,175,90,270,200,PHASE,phasecloak,90,,,0.1,0.07,20,35,30,20,1,,11,37000,10,20,180,0.25,8,8,,,,,,,,"fays_bp, faysco, merc",,0.5,2,2,,
