id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
bc_midlinefighter1_wing,bc_midlinefighter1_Fighter,"mid, fighter2, midline_bp, merc, persean",2,,7,18,V,4500,450,,2,FIGHTER,Multipurpose Fighter,14,14500,,,,,,,,,,,,,
bc_antiquefighter,bc_antiquefighter_Fighter,"fighter3, antique_bp, merc",3,,7,20,V,5000,700,,3,FIGHTER,Fighter,12,34500,,,,,,,,,,,,,
bc_antiquefighter2,bc_antiquefighter2_Tank,"fighter3, antique_bp, merc",2,,5,18,CLAW,4500,800,,3,FIGHTER,Heavy Fighter,14,28900,,,,,,,,,,,,,
bc_gunship,bc_gunship_Gunship,"fighter4, rare_bp, luddic_church, knights_of_ludd",3,,12,24,V,4500,450,,1,FIGHTER,Heavy Gunship,25,35000,,,,,,,,,,,,,
bc_acfighter,bc_acfighter_Heavy,"fighter2, rare_bp, luddic_church, knights_of_ludd",2,,9,20,V,4500,900,,2,FIGHTER,Strike Fighter,20,24500,,,,,,,,,,,,,
bc_hightechfighter1,bc_hightechfighter1_Seeker,"fighter2, rare_bp, merc, tritachyon",2,,10,18,CLAW,4000,550,,2,FIGHTER,Seeker Fighter,18,34000,,,,,,,,,,,,,
bc_oldfrigate_drone,bc_oldfrigate_drone_Support,"no_drop, no_drop_salvage, no_dealer",1,,0,0,CLAW,100,1000,,1,SUPPORT,Escort Drone,4,1000,,,,,,,,,,,,,
bc_lowtech_trident,bc_lowtech_trident_Strike,"bomber4, luddic_church, luddic_path, LC_bp, merc",1,,12,22,CLAW,4000,900,,2,BOMBER,Bomber,12,10000,,,,,,,,,,,,,
bc_breachbomber,bc_breachbomber_Bomber,"fighter1, bomber3, rare_bp, persean, merc",1,,9,17,CLAW,6000,1500,,3,BOMBER,Fast Bomber,8,8500,,,,,,,,,,,,,
bc_doublebomber,bc_doublebomber_Bomber,"bomber4, merc, rare_bp, persean",2,,12,22,V,3500,1500,,2,BOMBER,Multipurpose Bomber,10,12000,,,,,,,,,,,,,
bc_thermo_drone,bc_thermo_drone_Strike,"bomber5, merc, rare_bp, tritachyon, auto_fighter",2,,11,20,V,3000,550,,5,BOMBER,Swarm Bomber,5,15000,,,,,,,,,,,,,
bc_thumper_fighter,bc_thumper_fighter_Thumper,"fighter3, bomber1, merc, rare_bp, hegemony",1,,9,14,V,4000,700,,2,FIGHTER,Heavy Fighter,12,12500,,,,,,,,,,,,,
bc_midlinefighter2,bc_midlinefighter2_Support,"support8, merc, rare_bp, persean",1,,12,18,V,350,700,,2,SUPPORT,Support Fighter,15,14500,,,,,,,,,,,,,
bc_racingfighter,bc_racingfighter_Racing,"fighter5, interceptor, rare_bp, merc, indpendent, tritachyon",3,,10,12,V,4000,700,,3,INTERCEPTOR,Interceptor,8,15000,,,,,,,,,,,,,
bc_phasefighter,bc_phasefighter_Attack,"fighter8, rare_bp, merc, independent, pirates",4,,18,12,V,4000,700,,3,FIGHTER,Harasser,10,20000,,,,,,,,,,,,,
bc_midlineinterceptor_wing,bc_midlineinterceptor_Attack,"fighter10, rare_bp, persean, merc",2,,13,10,CLAW,3500,600,,3,FIGHTER,Fighter,12,12000,,,,,,,,,,,,,
bc_hightech_superfighter_wing,bc_hightech_superfighter_Superfighter,"fighter20, bomber7, rare_bp, merc, tritachyon",5,,16,20,V,4500,500,,1,FIGHTER,Advanced Fighter,18,26000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
