id,type,text1,text2,text3,text4,notes
bc_antiquedestroyer,SHIP,"One of the very rare, working antique hulls found throughout the Sector, the Verisimilitude is an elegant fast destroyer with moderate armament. Not so elegant are the two massive engine nacelles which, although unwieldy, can grant the ship massive bursts of speed. This allows the destroyer to take out much larger targets, provided they can’t turn to bear their firepower upon it. However, these advantages come at a cost: the engines guzzle fuel, and the antique components are difficult to maintain in the current state of the Sector.",,,,
bc_antiquecruiser,SHIP,"A bizarre ship, this hulking ship is one of the largest phase ships seen in the Sector. This hull, unlike other phase ships, is very slow, relying on its phase spool to catch targets, and packs a punch, possessing more weapons than many other phase ships. Rather than using its phase cloak to maneuver and dodge attacks, this ship utilizes it to brawl, ducking into p-space to recharge its weapons and take a breather before plunging back into the fray to unleash devastating volleys of fire.",,,,
bc_antiquefrigate,SHIP,"A highly specialized antique design, this ship, along with its sister, the Lacustrine, are armed with the powerful Dedicant Autocannon. This ship in particular is armed with no other weapon, and although capable of high damage, it relies on other ships to defend it and open up areas for assault due to the lack of point-defense.",,,,
bc_antiquefrigate_alt,SHIP,"The sister ship of the Limerence, this antique cannon frigate sacrifices one of its Dedicant Autocannons to increase defensive and flight capabilities. The removed cannon also reduces mass, increasing the ship's mobility and speed.",,,,
bc_antiqueshuttle,SHIP,"Historians theorize that the Kenosis was once a civilian vessel, used for ferrying citizens in and out of atmosphere. However, at some point long before the Collapse, it was fitted with a missile armament to grant the ship offensive capabilities. With high mobility and appreciable weapons, this ship serves well as a ship to finish off overloaded ships or chase down fleeing enemies.",,,,
bc_antiquecarrier,SHIP,"The Kenodoxy was once a hauler ship, long before the Collapse when elegant designs were commonplace. But there was conflict, even before the Sector was plunged into chaos, and this ship was converted into a carrier. While it may seem like a ramshackle conversion, closer inspection reveals skilled engineering to bring this once-civilian ship up to combat standards, and high quality parts to allow for speedy fighter replacement.",,,,
bc_racingeagle,SHIP,"A rare Eagle variant, this ship sacrifices some firepower and hull for vastly increased mobility. First created for racing, the sport’s popularity has fallen after the Collapse and these hulls are now used for military operations.",,,,
bc_raschel,SHIP,"An ancient design theorized to be built just after the Onslaught, this heavy frigate has a heavy arsenal that it uses to punch above its weight. However, the old flux core design struggles to keep up with both the inefficient shield and overbuilt weapons systems.",,,,
bc_ranine,SHIP,"A small frigate with heavy firepower—but not much else. Armed with two medium mounts, this ship can contribute to a firefight but can’t take much fire itself due to the lack of point defense.",,,,
bc_salvager,SHIP,"A small, durable little salvaging ship that has been servicing the Sector for centuries, the Calix is a dependable little ship for exploration, or simply to accompany combat fleets to ensure battle salvage is recovered.",,,,
bc_piratedram,SHIP,"A Dram that has been (very) modified to host a large mount. The ship retains a civilian-grade flux grid and hull, only sporting improved armor.",,,,
bc_heavycruiser,SHIP,"An alternative take on the Dominator, the Malefactor increases its predecessor’s frontal armament, sacrificing missile mounts and defense to strike hard with a trio of large hardpoints. It also sports a nigh-impenetrable armor belt, making up for its weak point defense. This sounds good on paper, but the Malefactor’s miserable speed and maneuverability make it an easy target for mobile ships, and its shields are more of a suggestion than an actual defense. Due to this, the ship never achieved the universal status of the Dominator, although is still feared by any who can’t outmaneuver it.",,,,
bc_skeleton,SHIP,"An absolutely psychopathic design, this ‘ship’ is theorized to have originally resembled a frigate. Somehow, only blueprints of the gutted variant survived the Collapse, and the result is… this. Only the most well-paid — or suicidal — crew will pile into this death trap, as its reputation is anything but positive. Typically used by uncaring admirals to capture strategic points quickly without regard for the unlucky crew assigned to the ship.",,,,
