name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
increased explosion,increased_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.IncreasedExplosion,Increased explosion radius and damage.,,graphics/hullmods/reduced_explosion.png
Scrappin,ork_redfasta,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ork_redfasta,"Due to their love for battle, orks will begin fighting even harder as their ship takes damage.",,graphics/hullmods/red_fasta.png
Degraded Targeting Core,degradedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DegradedTargetingCore,"Salvaged from the corpse of a paragon, this targeting core has lost it's peak abilities, but is nonetheless very powerful.

Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,graphics/hullmods/degraded_targeting_core.png
Baltach Construction,ork_rugged,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ork_rugged,"Made by the Bultach Coalition to last many battles, their ships are exceptionally easy to recover even after being destroyed in combat.",Ship almost always recoverable if lost.,graphics/hullmods/junk_construction.png
Low Maintenance,Ork_low_Maintenance,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.Ork_low_Maintenance,Decreases the monthly maintenance supply cost by %s.,Decreases maintenance cost.,graphics/hullmods/low_maintenance.png
Bultach shields Changer,BT_shieldsChanger,0,,Bultach Coalition,defensive,0,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_shieldsChanger,,Shield Changer,graphics/hullmods/low_maintenance.png
Shockwave Negating Armor,BT_antiNuke,1,,Bultach Coalition,defensive,,5000,,,,8,15,25,35,data.hullmods.BT_antiNuke,"An expensive, thorough upgrade to the ship's armor in order to let it better resist explosions or impacts of particularly massive size. Often used when facing targets using doomsday weapons, as it offers no other benefits whatsoever.",Massively decreases damage above a threshold of 4000,graphics/hullmods/reduced_explosion.png
Extensive Missile Racks,ExtensiveMissileRacks,,,,,Weapons,,,TRUE,,0,0,0,0,data.hullmods.ExtensiveMissileRacks,"Due to this salvage sporeship's vast hull, a massive amount of missiles can be stored. Increases the ammo capacity of missile weapons by %s.",Massively increases missile weapon ammo.,graphics/hullmods/expanded_missile_racks.png
Massive Hull,BT_antiNukeHidden,1,,Bultach Coalition,defensive,,5000,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_antiNuke,"An expensive, thorough upgrade to the ship's armor in order to let it better resist explosions or impacts of particularly massive size. Often used when facing targets using doomsday weapons, as it offers no other benefits whatsoever. Reduces damage above a threshold of 4500 by 70%",Decreases single-hit damage above 4500 by 70%,graphics/hullmods/reduced_explosion.png
EMP Resistant Plating,BT_AntiEmpArmor,,,Bultach Coalition,defensive,"Special, Defenses",7000,,TRUE,,3,6,9,15,data.hullmods.BT_AntiEmpArmor,Decreases the amount of damage taken from EMP weapons (such as Ion Cannons) by %s.,Reduces EMP damage taken.,graphics/hullmods/resistant_flux_conduits.png
Semi-automated Ship,BT_Semi_Automated,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.BT_Semi_Automated,"This ship is semi-automated, only capable of taking on a small crew for maintenance and safety purposes.

Semi-automated ships require specialized equipment and expertise to maintain, resulting in a maximum combat readiness penalty of %s.",Much smaller crew capacity.,graphics/hullmods/automated.png
Bultach shield zaps,bt_shieldArching,0,,Bultach Coalition,defensive,0,,,TRUE,TRUE,0,0,0,0,data.hullmods.bt_shieldArching,,Shield Changer,graphics/hullmods/low_maintenance.png
Linked Hull,BT_linkedhull,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_LinkedHull,Mirrors certain aspects between the parent and child hulls.,,graphics/hullmods/vast_bulk.png
HULLMOD CONFLICT,IncompatibleHullmodWarning,,,,,,,,TRUE,,0,0,0,0,data.hullmods.IncompatibleHullmodWarning,"%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.","%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.",graphics/icons/intel/investigation.png
