name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Dakka,ork_dakka,5,,45000,950,,650,,350,3,16,,,,HIGH_EXPLOSIVE,370,,0,4,4,.20,0,5,5,10,,750,,,800,,,"SYSTEM,SHOW_IN_CODEX",,,Bultach Coalition,,Anti Armor,,,,,,,,,,8
Fuadian Lance,ork_layzah,2,,9000,1000,2000,,50,20,4,25,,,,ENERGY,,3750,.5,2,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, rare_bp, ork_project_bp",,Bultach Coalition,,General,,,,,,,,,,
Trì-fillte Cannon,ork_rippa,2,,7000,900,,535,,150,4,25,,,,HIGH_EXPLOSIVE,600,,0,1,,,0,5,5,10,,750,,,800,,,,"he22, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,8
Shoota,ork_shoota,0,,100000,1000,,175,15,0,2,,,,,ENERGY,300,,0,0.2,3,.15,3,12,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,Bultach Coalition,,General,,,,,,,,,,40
Slige Autocannon,ork_thumpa,0,,1000,800,,225,,10,20,10,,,,KINETIC,250,,0,1.2,1,,0,5,.5,5,,1000,,,30,,,,"kinetic15, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,4.125
Teth Plasma Cannon,ork_plasma,2,,1900,800,,700,50,200,10,14,,,,ENERGY,875,,.5,3,,,0,5,2,5,,800,,,3000,,,,"energy15, he16 rare_bp, ork_project_bp",,Bultach Coalition,,General,,,,,,,,,,40
Chrìoch Minigun,ork_dispenser,2,,7000,800,,60,,200,20,24,,,,FRAGMENTATION,18,,0,.08,,,8,16,1,10,,1000,,,100,,,,"he20, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,
Neonach Shredder,ork_rotary,1,,2000,650,,70,,3,30,12,60,4,16,KINETIC,70,,.3,.1,16,.1,2,10,.5,8,,800,,,30,,,,"kinetic10, rare_bp, ork_project_bp",,Bultach Coalition,,Anti Shield,,,,,,,,,,4.5
Gnèag Cannon,ork_shotgun,0,0.75,2000,750,,400,,20,10,11,,,,HIGH_EXPLOSIVE,400,,0,2,,,2,10,1,5,,525,,,400,,,,"he10, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,15.66
Mòrangnè Cannon,ork_big_shotgun,1,,8000,900,,1100,,500,8,20,,,,HIGH_EXPLOSIVE,1500,,0,6,,,2,10,1,5,,450,,,1500,,,,"he20, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,15.66
Peilt Mortar,ork_slug,0,,100,600,,80,,4,30,4,,,,HIGH_EXPLOSIVE,80,,0,1,3,,0,15,3,10,,675,,,10,,,,"he5, ork_project_bp",,Bultach Coalition,,Anti Armor,,,,,,,,,,0.75
