name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,csp_knifeclawdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,699
,csp_Dagclawdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,700
,csp_falchionbdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,704
,csp_ignitedeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,718
,csp_lordbritishdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,705
Normal Mech Arm,csp_midline_arm_left,0,,,0,0,,,0,10,0,1,,,ENERGY,,0,0,0,0.3,0.1,,,,,10000,,,,,SYSTEM,"no_drop,no_sell, no_drop_salvage",,,,To look nice,,,,,,,This is for basically a deco weapon but with a stats card. You use this to save yourself some weapon flux,,,710
,csp_midline_shoulderLdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,707
,csp_midline_shoulderRdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,708
,csp_midline_torsodeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,708
,csp_chestplate,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,710
,csp_LG_shoulderLdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,714
,csp_LG_shoulderRdeco,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,715
,csp_LG_arm_left,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,716
,csp_LGchestplate,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,717
