id,trigger,conditions,script,text,options,notes
#Nex omega interaction,,,,,,
nex_HistorianOmegaHail_optsPCore,Nex_HistorianOmegaHailOpts,PlayerHasCargo ix_panopticon_core,,,9:nex_HistorianOmegaHail_bribePCore:Offer a Panopticon Core,
nex_HistorianOmegaHail_optsPInst,Nex_HistorianOmegaHailOpts,PlayerHasCargo ix_panopticon_instance,,,10:nex_HistorianOmegaHail_bribePInst:Offer a Panopticon Instance,
nex_HistorianOmegaHailBribePCore,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribePCore,,"The return transmission is instantaneous.

""omega query?
context impalpable
sublimate antagonist
grid entropy perigee""",nex_HistorianOmegaHail_IXFrantic:Continue,
nex_HistorianOmegaHailBribePInst,DialogOptionSelected,$option == nex_HistorianOmegaHail_bribePInst,,"The return transmission is instantaneous.

""omega query?
context impalpable
optimate antagonist
grid entropy maxima""",nex_HistorianOmegaHail_IXFrantic:Continue,
nex_HistorianOmegaIXFrantic,DialogOptionSelected,$option == nex_HistorianOmegaHail_IXFrantic,"SetTextHighlightColors bad
Highlight ""\""HOSTILE ONTOLOGY ABORT ABORT ABORT\""""","Your ship receives a massive burst transmission from the strange entity. The incoming data is barely decipherable, an inchoate howl from a digital mind.

""hostile ontology abort""

Within the entity, the power output of whatever passes for a reactor begins to rise, and rise, and rise, well past what should be the point of criticality.

""HOSTILE ONTOLOGY ABORT ABORT ABORT""

Each facet shines like a tiny star against the system's background radiation, and they're closing fast.",cutCommLink:Power up weapons and cut the comm link,
,,,,,,
#Commissioned Crews,,,,,,
cc_ix_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == ix_battlegroup
!$ix_battlegroup_ChangeMind","AddText ""Commissioned Crews Bonus: Reduce ship system recharge time.""
SetTextHighlights Commissioned Crews Bonus
$ix_battlegroup_ChangeMind = true 0",,,
cc_tw_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == ix_trinity
!$ix_trinity_ChangeMind","AddText ""Commissioned Crews Bonus: Increase range of Nimbus drones on Trinity Worlds ships.""
SetTextHighlights Commissioned Crews Bonus
$ix_trinity_ChangeMind = true 0",,,
,,,,,,
#IX Battlegroup,,,,,,
greetingIXFriendly,OpenCommLink,"$faction.id == ix_battlegroup
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging ID codes - good to see you, captain.""
OR
""Your $shipOrFleet has been scanned and identified, everything is in order.""
OR
""Scanned and identified. Good hunting."" $PersonRank $personName gives a salute and signs off with a flash of the 9th Battlegroup insignia.",,
greetingIXHostileWeaker,OpenCommLink,"$faction.id == ix_battlegroup
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""I knew the risks when I signed up. Bring it, then."" The 9th Battlegroup $personRank says with a grim smile.
OR
""Just part of the job."" The 9th Battlegroup $personRank sighs and then cuts the feed.
OR
The 9th Battlegroup $personRank gives you a glare and cuts the line without a word.
OR
The enemy captain looks grim. ""Fine. I'll see you in hell."" There's a pause, and then the feed cuts.
OR
$PersonRank $personName slams on the console. ""If it's a fight you want, you'll get it.""",cutCommLink:Cut the comm link,
