name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Soliton Burse Emitter related,,,,,,,,,,,,,,,,,,,
Dangerous Feedback,ix_feedback_error,,,,hide_in_codex,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"This ship is equipped with more than one feedback weapon, causing all feedback weapons to periodically damage the ship when fired.",,,graphics/hullmods/tw_equipment_error.png
      Feedback Handler,ix_feedback_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.sbe.FeedbackHandler,"(Hidden) Automatically added by equipping a feedback weapon, and will add Feedback Error hullmod if more than one is equipped. IX only version if ET is not enabled.",,,graphics/hullmods/tw_equipment_error.png
      Intrepid SBE Handler,ix_intrepid_sbe_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.sbe.BattleshipSBEHandler,(Hidden) Handles SBE behavior and ship skin for the Intrepid (IX),,,graphics/hullmods/tw_equipment_error.png
      Radiant SBE Handler,ix_radiant_sbe_handler,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.sbe.BattleshipSBEHandler,(Hidden) Handles SBE behavior and ship skin for the Radiant (IX/HG),,,graphics/hullmods/tw_equipment_error.png
Dedicated EWAR Suite,ix_dedicated_ewar_suite,,,,,,,,TRUE,,0,0,0,0,data.hullmods.sbe.DedicatedEWAR,"A dedicated electronic warfare suite that replaces the built-in %s. Frees up %s OP, grants %s ECM rating, and will launch a wide area EMP burst near the closest enemy ship or missile within %s su, once every %s seconds. Cannot be combined with ECM Package.",Improves ECM.,,graphics/hullmods/ix_ewar.png
      ECM OP discount 20,ix_ecm_discount_20,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,-20,com.fs.starfarer.api.combat.BaseHullMod,(Hidden) reduces OP by 30 for 2 fitted archaic composite weapons,,,graphics/hullmods/ix_ewar.png
Soliton Burse Emitter,ix_sbe,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"This ship is equipped with a built-in graviton weapon. It can be removed using the drop down menu, and turned into a modular weapon with an Antimatter Stabilizer. 

Stabilizers can be purchased from Vertex Station or salvaged from defeated IX Battlegroup stations.",,,graphics/hullmods/ix_sbe.png
,,,,,,,,,,,,,,,,,,,
#Trinity Worlds Built-in,,,,,,,,,,,,,,,,,,,
