name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Dummy ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banteng,banteng_ix_base,Long-haul Freighter,High Tech,flarelauncher_active,7,6000,250,3000,,140,60,,50,20,10,15,10,1800,OMNI,,150,0.5,0.8,,,35,140,800,600,3,200,7,60000,3,20,360,0.25,7,7,114,267,,,,,"CIVILIAN, FREIGHTER, HIDE_IN_CODEX",no_dealer,,0.6,2,3,,410.1
Incursion,incursion_ix_base,Battleship,High Tech,microburn,30,17000,1500,22000,,1250,340,,35,12,12,6,6,3500,FRONT,,180,0.24,0.8,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,55,55,,,,,,,HIDE_IN_CODEX,no_dealer,,0.6,2,4,,509.1
Iris,iris_ix_base,Light Carrier,High Tech,microburn,10,2500,350,5500,,300,80,2,55,40,40,30,60,250,FRONT,,360,0.4,0.6,,,25,35,30,40,2,20,9,45000,5,15,300,0.15,12,12,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX",no_dealer,,0.4,2,2,,1339.1
Flamebreaker,kingfisher_ix_base,Carrier,High Tech,ix_rapid_assembly,15,9000,1000,12500,,900,180,2,50,20,20,16,16,2000,OMNI,,180,0.4,0.6,,,100,250,200,100,4,25,8,200000,4,16,480,0.25,30,30,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX",no_dealer,,0.4,2,4,,1347
Radiant,radiant_ix_base,Drone Battleship,Remnant,displacer_degraded,30,20000,1500,25000,,1500,320,,40,30,20,7,10,3500,OMNI,,270,0.4,0.6,,,0,0,250,400,10,40,8,500000,3,15,720,0.25,60,60,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,4,,509.2
Tempest,tempest_ix_base,Escort Frigate,High Tech,ix_terminus_relay,8,1250,200,2500,,225,50,1,190,200,175,90,270,200,OMNI,,150,0.2,0.8,,,15,25,30,20,1,20,11,36000,10,20,180,0.25,8,8,,,,,,,HIDE_IN_CODEX,no_dealer,,0.5,2,2,,206
Tigershark,tigershark_ix_base,Cruiser,High Tech,ix_plasmajets,17,7000,800,11000,,800,160,,75,55,55,30,30,1500,OMNI,,150,0.5,0.8,,,75,175,150,90,3,30,8,180000,4,20,420,0.25,30,30,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,2,,1346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flourish,flourish_stock,Frigate,High Tech,plasmajets,6,1500,250,2100,,160,60,,150,135,110,75,100,180,OMNI,,160,0.5,0.6,,,25,50,30,20,1,20,10,20000,8,15,240,0.25,6,6,,,,,,,SHIP_WITH_MODULES,"hightech_bp, rare_bp, merc, ind, tritachyon",,0.4,2,2,,220.1
Flourish (IX),flourish_ix,Frigate,IX Battlegroup,plasmajets,7,1500,250,2100,,160,63,,150,135,110,75,100,180,OMNI,,160,0.5,0.6,,,25,50,30,20,1,20,10,30000,8,15,240,0.25,6,6,,,,,,,SHIP_WITH_MODULES,ixbattlegroup,,0.4,2,2,,220.1
,flourish_undershield,Undershield,,,0,10,10,500,,50,0,,0,0,0,0,0,0,FRONT,,160,0,1,,,0,0,0,0,0,0,11,0,,1,240,0.5,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0,2,2,,
Odyssey (IX),odyssey_ix,Battlecruiser,IX Battlegroup,microburn,30,10000,1000,15000,25000,1000,290,,70,50,40,8,12,2500,OMNI,,180,0.25,1.0,,,400,800,400,450,8,56,8,500000,4,20,600,0.25,45,45,,,,,,,SHIP_WITH_MODULES,"ixbattlegroup, ix_core_bp, no_autofit",,0.6,2,4,,505.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axiom (IX),axiom_ix,,IX Battlegroup,,,300,25,500,,100,0,,300,400,350,150,240,25,OMNI,,360,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Dictum (IX),dictum_ix,,IX Battlegroup,,,400,40,750,,120,0,,220,350,350,100,240,40,OMNI,,360,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,109
Terminus (IX),terminus_ix,,IX Battlegroup,,,500,100,200,,50,,,300,400,400,200,400,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,terminus_drone,,0,,,,4
,terminus_drone_bay_ix,Controller,IX Battlegroup,ix_terminus_relay,0,900000,500,5000,2500,600,0,,0,0,0,0,0,1,NONE,,0,0,0,,,0,0,0,0,0,0,,0,,0,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, module_unselectable, module_no_status_bar",,0,,,,505
