id,type,text1,text2,text3,notes
ix_battlegroup,FACTION,"In cycle 70, a large fleet of high-tech warships limped into the Persean Sector, having been placed in emergency cryosleep for decades after the gate network collapse. The arrival of a 9th Domain Battlegroup task force was initially welcomed by the Hegemony, who hoped to settle the newcomers and make use of their advanced technology. However, negotiations suddenly turned violent for reasons that remain classified, resulting in a massive battle over the skies of Jangala. The task force was defeated by the narrowest of margins, and withdrew their remaining ships to a system on the edge of the Core Worlds, where they have maintained a state of perpetual war against every other major polity of the Sector ever since.

Often referred to simply as ""the Fleet,"" the IX Battlegroup sees itself as the true inheritor of the Domain of Man. Fleet Command governs the Zorya system under a strict military dictatorship, using both naval and economic force projection to constantly destabilize the rest of the Sector. Before its worlds are reclaimed for the Domain, free captains and mercenaries are tolerated as useful pawns. Everyone else is prey.",,,
,,,,,
axiom_ix,SHIP,"Fast and heavily shielded 9th Domain Battlegroup interceptor, equipped with an emergency flux shunt that keeps the craft operational even when its shields are overloaded. Prior to its arrival in the Persean Sector, the mission profile of the Fleet had placed a heavy emphasis on minimizing attrition, and so for much of its history it did not operate with crewed fighters. That has recently begun to change, with the Axiom appearing in large numbers in the defense of its orbital facilities.",,,
banteng_base,SHIP,"A freighter that combines ample cargo space with extended range fuel tanks, alleviating the need for dedicated tanker ships when hauling long distance freight. Rarely seen while Gate travel was still ubiquitous, the Banteng has found renewed popularity post-Collapse as a commercial hauler, exploration vessel, and even militarized fleet tender. Its excellent range and relatively robust weapon mounts make it well suited to operating on the lawless frontier.",,,
buffalo_ix,SHIP,"Despite being ruggedized, the Buffalo (IX) is still a light freighter, and must rely upon escorts to survive coming under fire.",,,
dictum_ix,SHIP,"A cutting edge heavy fighter of the 9th Domain Battlegroup, bearing the same emergency flux shunt as its interceptor counterpart. The Dictum is almost guaranteed to outmatch any other comparable strike craft in a one-on-one engagement. However, its extremely demanding maintenance requirements limit its deployment in large numbers.",,,
flamebreaker_ix,SHIP,"Based on a high-tech cruiser hull that has long been known to the Fleet, but never put into service due to its relatively slow speed, the heavily revised Flamebreaker (IX) has finally found its place as the 9th Domain Battlegroup's latest combat carrier. The advanced sensors of the preceding design have been fine tuned for both point defense and flight command, while a robust fighter autoforge and launch bay have taken the place of heavy missile armaments.",,,
flourish_stock,SHIP,"A nimble attack frigate with the capability to mount both ballistic and energy weapons. Features a secondary shield system wired to an independent plasma core, allowing for both shields to be used simultaneously and for shielding to be maintained while overloaded or actively venting flux.

Sharing many similarities to the older Lasher-class, the Flourish is a late Expansion Epoch update of its aged predecessor, with numerous changes to reflect the strike focused doctrine of its creation. Post-Collapse, the Tri-Tachyon Corporation secured a partial blueprint of the design from the 9th Domain Battlegroup in a daring feat of corporate espionage. While they could not fully replicate its most cutting edge features, Tri-Tachyon did manage to alter the hardpoint mounts to accomidate a more diverse range of weapons for their mass production variant.",,,
flourish_ix,SHIP,"A nimble and versatile attack frigate featuring a novel secondary shield system wired to an independent plasma core. The Flourish (IX) actually predates its more commonplace downgraded variant in the Sector, having arrived with the original 9th Domain Battlegroup taskforce. The secrets of its fully enveloping undershield could not be replicated by the Tri-Tachyon Corporation even after they stole the design blueprints.",,,
iconoclast_ix,SHIP,"Based on the slow and defense oriented Iris-class destroyer, the Iconoclast (IX) has been radically re-envisioned as a light carrier with the speed to keep up with the rest of the Fleet. It is equipped with advanced point defense systems and a compact Interdictor Array, making it the bane of any ship that seeks to outmaneuver or flee from an invading flotilla.",,,
