name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutting Beam,cutting_beam_ix,1,,0,1000,600,,,0,10,,,,,FRAGMENTATION,,150,0.1,0.1,,,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX","beam12, energy12, LR",,IX Battlegroup,,General,,,,,,,%s: Security interlocks prevent these weapons from being salvaged,Restricted,,18.5
Diffraction Laser,diffraction_laser_ix,0,,0,1000,0.00001,,,0,10,,,,,ENERGY,,0,0,0.1,,,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX","beam0, energy0, LR",,IX Battlegroup,,Special,,,,,"Target takes %s additional shield damage from all sources when illuminated by one beam, %s for two beams, and %s for three or more.",7% | 10% | 15%,,,TRUE,16.1
Electronic Warfare Suite,ewar_suite_ix,0,,0,1000,500,,500,0,0,,,,,ENERGY,,500,0,0,1,4,,,,,0,,,,,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, PD, ANTI_FTR","beam0, energy0, no_sell, no_dealer, no_drop, no_drop_salvage, hide_in_codex",,IX Battlegroup,,Special,,,,,%s: Will always target the area around the nearest enemy ship or missile. Range and damage are not increased by hullmods or skills.,Automated Targeting,,,,24.9
Electronic Warfare Suite,ewar_suite_hg,0,,0,1000,500,,500,0,0,,,,,ENERGY,,500,0,0,1,4,,,,,0,,,,,,,"SYSTEM, SHOW_IN_CODEX, DO_NOT_AIM, PD, ANTI_FTR","beam0, energy0, no_sell, no_dealer, no_drop, no_drop_salvage",,IX Battlegroup,,Special,,,,,%s: Will always target the area around the nearest enemy ship or missile. Range and damage are not increased by hullmods or skills.,Automated Targeting,,,,24.9
ER Brightburn CIWS,brightburn_ciws_ix_er,2,,0,800,,20,,0,35,,120,20,20,ENERGY,10,,0,0.185,15,0.0225,0,3,1,3,,1000,,,,,,"SYSTEM, PD","energy16, ixbattlegroup, no_sell, no_dealer, no_drop, no_drop_salvage",,IX Battlegroup,,Point Defense,,,,,"Integrated auto-tracker deals %s extra base weapon damage against fighters and missiles, which is not enhanced by skills or hullmods.",50%,,,,26.2
Lightbringer Pulse Laser (Fighter),lightbringer_fighter_ix,1,,0,500,,20,,0,0,,,,,ENERGY,15,,0.1,0,,,,,,,,1000,,,,,,SYSTEM,energy10,,IX Battlegroup,,General,,,,,,,,,,26.1
Micrograser (Fighter),micrograser_fighter_ix,3,,0,600,1500,,,0,30,,4,2,4,ENERGY,,900,0,0,0.12,0.03,,,,,1000000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT","beam10, energy15",,IX Battlegroup,,General,,,,,,,,,,23.9
Morningstar CIWS (Fighter),morningstar_fighter_ix,1,,0,500,,20,,0,100,,,,,ENERGY,30,,0.1,0,,,,,,,,1000,,,,,,"SYSTEM, PD","energy8, SR",,IX Battlegroup,,Point Defense,,,,,,,,,,19.3
Muon Siege Lance (Fighter),muon_siege_fighter_ix,3,,0,700,2400,,1200,0,10,,1,,,ENERGY,,,0.1,0.2,0.9,3.3,,,,,1000000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","energy20, beam15, LR",,IX Battlegroup,,Suppression,,,,,"Hits on hull or armor arc to weapons and engines twice, dealing %s energy and %s EMP total extra damage.",50% | 100%,,,TRUE,27.6
