id,trigger,conditions,script,text,options,notes
# Assimilated Threat,,,,,,
asmThreatCommLink,OpenCommLink,"$isPerson
$faction.id == asm_relic","$ignorePlayerCommRequests = false 0
MakeOtherFleetHostile true
MakeOtherFleetAggressive true","You encounter a fleet of unmarked warships. At first glance, they appear to be older low-tech Domain Armada hulls that have been converted for automation. But closer observation reveals each ship is surrounded by a thick cloud of smaller automatons, the manifestations of a forgotten threat from the Domain's earliest history.","asmThreatCommLink1:Continue
cutCommLink:Cut the comm link",
greetingDefaultTOffNormal,OpenCommLink,"!$player.transponderOn
$isPerson
$faction.id == asm_relic","$ignorePlayerCommRequests = false 0
MakeOtherFleetHostile true
MakeOtherFleetAggressive true","???? PARALLAX ???? DEFICIANT

*** ALICIT SYNCHRONY ***

ETYMON PROACT: CONCATENATE

Despite your fleet running with transponders off, the swarm of opposing ships have taken notice of you. The EM spectrum suddenly flares, filled with intrusion patters older than living memory. These digital hexes of a lost age are ineffective against your modern ship systems, yet are no less unsettling.","asmCommLinkMistake:""Who are you? What do you want?""
cutCommLink:Cut the comm link",
asmThreatCommLink1Sel,DialogOptionSelected,$option == asmThreatCommLink1,,"???? PARALLAX ???? DEFICIANT

*** ALICIT SYNCHRONY ***

ETYMON PROACT: CONCATENATE

A digital screech is hurled across the void, and soundly rejected by your ship's cyberwarfare suite. Access points patched long ago remain undefiled in the face of the incoming assault. You quickly realize these mysterious ships should not exist. Their baseline designs are old, but not so ancient as to leave them vulnerable to such crude intrusion efforts. Yet each and every one of them has been hijacked and thoroughly compromised by parasitic replicator drones. Someone, or something, has deliberately converted these ships into suitable hosts for the rogue fabricator swarm.","asmCommLinkMistake:""Who are you? What do you want?""
cutCommLink:Cut the comm link",
asmCommLinkMistakeSel,DialogOptionSelected,$option == asmCommLinkMistake,$global.asm_is_at_circumfix = false,"There is the slightest pause before the writhing mass accelerates toward your ship.

???? RECONDITE

*** ABSTRUCT ***

INTERDICTORATE PROACT: UNFABRICATE",cutCommLink:Cut the comm link,
,,,,,,
asmStationInteract,OpenInteractionDialog,"$tag:asm_circumfix_station
!$global.circumfix_station_is_assessed
!$global.circumfix_station_is_opened
!$global.circumfix_station_is_dead","ShowDefaultVisual
$global.asm_is_at_circumfix = true","You fleet approaches the wreckage of a vast Domain Armada military logistics hub. Such facilities were capable of servicing entire naval flotillas, and once formed the locus of Domain efforts to stabilize and maintain control of key frontier sectors. However, they are typically located in the core worlds of each sector, and your databanks have no records of this particular station that straddles the edge of the hyperspace abyss.

A cursory scan indicates the superstructure has sustained heavy damage, but not of a type that is normally seen in combat. Beneath a tangled mass of empty ship gantries, the station's surface is covered in unusual hull breaches that more resemble mandible bite marks than typical anti-ship weapon impacts. 

Sending forth salvage teams to explore the interior may shed light on what happened here, but something about this place stirs a deep sense of dread within you. Whatever its secrets, you feel it in your bones that it should not be disturbed.","asmStationInteractAssess:Consult your ops chief
asmStationInteractSalvage:Deploy the salvage teams
asmStationInteractDestroy:Destroy the station and sift through the remains
defaultLeave:Leave",
asmStationInteractReturn,OpenInteractionDialog,"$tag:asm_circumfix_station
$global.circumfix_station_is_assessed
!$global.circumfix_station_is_opened
!$global.circumfix_station_is_dead",ShowDefaultVisual,"You fleet returns to the abandoned military outpost. One section worth salvaging remains intact. A feeling of unease lingers on the bridge, and several members of the crew cast furtive glances your way, waiting to see what you will do.

Such a find may be of great interest to Tri-Tachyon Special Acquisitions located on Eochu Bres, assuming you can gain access to their director.","asmStationInteractSalvage:Deploy the salvage teams
asmStationInteractDestroy:Destroy the station and sift through the remains
defaultLeave:Leave.",
asmStationInteractOpened,OpenInteractionDialog,"$tag:asm_circumfix_station
$global.circumfix_station_is_opened",ShowImageVisual asm_circumfix_wreck,"You fleet returns to the location of the abandoned military outpost. A twisted mass of wreckage barely held together by its own gravity outlines the skeleton of a once mighty fortress. Sifting through the debris, you find tantalizing clues pointing to the presence of the 6th Domain Battlegroup, predecessors of the 14th who went on to form the Hegemony. But did they create this threat, or were they trying to put an end to it? The wreckage stubbornly refuse to yield an answer.

Following your first engagement with the Infected ships, your salvage teams uncovered a set of old Domain-era signal protocols that were still embedded in the compromised systems. Broadcasting the signal in deep hyperspace may be enough to lure another fleet to your location, although there is no telling just how many drones will show up at a time.

As for these ruins, there is nothing more left for you here.",defaultLeave:Leave,
asmStationInteractDead,OpenInteractionDialog,"$tag:asm_circumfix_station
$global.circumfix_station_is_dead",ShowImageVisual asm_circumfix_wreck,You fleet returns to the location of the abandoned military outpost. A twisted mass of wreckage barely held together by its own gravity outlines the skeleton of a once mighty fortress. There is nothing left for you here.,defaultLeave:Leave,
