name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Remnant Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermion Decoupler,vice_fermion_decoupler,,,,1000,250,,,0,0,0,,,,ENERGY,,500,0.1,0.1,,,,,,,30000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,Unknown,,Anti Hull,,,,,"Hits on hull and armor will degrade %s structure per second. This damage is not reduced by armor, and will degrade the target's hull directly even when armor is still present.",500,,,,
Fermion Decoupler,vice_fermion_decoupler_auto,,,,1000,250,,,0,0,0,,,,ENERGY,,500,0.1,0.1,,,,,,,30000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,Unknown,,Anti Hull,,,,,"Hits on hull and armor will degrade %s structure per second. This damage is not reduced by armor, and will degrade the target's hull directly even when armor is still present.",500,,,,
Heavy Maser Emitter,vice_heavy_maser,3,0.3,10000,1000,1000,,500,0,15,22,,,,FRAGMENTATION,,300,0.1,0.1,,,,,,,30000,,,,,,,,"beam15, energy15, remnant, no_dealer",,Remnant,,Suppression,,,,,"Hits on hull or armor periodically arc to weapons and engines, dealing %s additional EMP damage.",200%,,,,24.1
Phased Electrolaser,vice_phased_electrolaser,4,0.5,10000,800,1.25,,,0,100,9,,,,ENERGY,,125,0,0,2,0.5,,,,,1000000,,,,,,,"PD, FIRE_WHEN_INEFFICIENT","feedback_weapon, remnant, no_dealer",,Remnant,,Point Defense,,,,,"Emits an energy pulse at the beam terminus point after a brief delay, dealing %s and %s damage to all hostile targets in a large area. Emitter can track and destroy missiles.

Weapon inflicts %s and %s damage/second, with a flux efficiency of %s, and does not benefit from point defense damage bonuses against missiles and strike craft.",250 energy | 500 EMP | 100 energy | 200 EMP | 1.0,"%s: Equipping more than one feedback weapon to a ship will cause each feedback weapon to generate an EMP arc when fired, dealing %s and %s damage to itself.",Feedback | energy | EMP,TRUE,16
Warp Drone Assembler,vice_warp_torpedo_pod,3,0.5,5000,2000,,800,,300,10,10,,,,KINETIC,400,,,16,1,,,,,,,250,100,30,650,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE","missile12, remnant, archaic_c, no_dealer",,Remnant,,Anti Shield,Very Slow,Very Poor,,,"After a %s arming sequence, drone will accelerate to tremendous speed upon nearing the target. Impact inflicts an additional %s from the collapsing warp field.",2 second | 400 energy damage,%s: Gains the composite weapon full range bonuse from hullmods that affect archaic weapons.,Archaic,,2.1
Warp Drone Constructor,vice_warp_torpedo_launcher,3,0.3,10000,2000,,800,,300,8,20,,,,KINETIC,400,,,8,1,,,,,,,250,100,30,650,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE","missile18, remnant, archaic_c, no_dealer",,Remnant,,Anti Shield,Very Slow,Very Poor,,,"After a %s arming sequence, drone will accelerate to tremendous speed upon nearing the target. Impact inflicts an additional %s from the collapsing warp field.",2 second | 400 energy damage,%s: Gains the composite weapon full range bonuse from hullmods that affect archaic weapons.,Archaic,,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-in Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigapulser,vice_gigapulser,3,,100000,800,,900,,0,5,,,,,ENERGY,450,,1,7.5,3,0.25,0,0,0,0,,1000,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,Sindrian Diktat,,Strike,,,,,,,%s: These built-in weapons can be extracted and installed on another Onslaught or related hull.,Removable,,28.1
Hydromagnetic Cannon,vice_hmc,3,,100000,1200,,900,,300,0,,,,,KINETIC,1200,,0.5,2.5,,,,,,,,1200,,,400,,,"SYSTEM, SHOW_IN_CODEX","kinetic20, LR",,Remnant,,General,,,,,Each impact against exposed armor or hull has a chance to degrade the target's %s by %s. Loss of armor at the site of impact increases odds of applying penalty.,Combat Readiness | 1%,%s: These built-in weapons can be extracted and installed on another Onslaught or related hull.,Removable,,40.1
Hellfire SDEM,vice_hellfire,3,,0,1200,4000,,,,0,,4,0.1,,ENERGY,,2400,0.1,0.2,0.9,6.8,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX, CONSERVE_3, STRIKE, USE_VS_FRIGATES","beam20, energy20, LR",,,,Strike,,,,,,,,,,16.02
