name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Assimilant Threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermion Decoupler,asm_fermion_decoupler,3,,6500,800,100,,,0,15,15,,,,ENERGY,,120,0.1,0.1,,,,,,,30000,,,,,,,FIRE_WHEN_INEFFICIENT,"beam10, energy10, feedback_weapon, asm_threat, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Threat,,Anti Hull,,,,,"Hits on hull and armor will reduce hull by %s per second. This damage is not reduced by armor, and will degrade the target's hull directly even when armor is still present.",100,"%s: Equipping more than one feedback weapon to a ship will cause each feedback weapon to generate EMP arcs when activated, periodically dealing %s and %s damage to itself.",Feedback | 250 energy | 500 EMP,,20
Fermion Decoupler (Fighter),asm_fermion_decoupler_fighter,3,,,800,100,,,0,60,15,,,,ENERGY,,120,0.1,0.1,,,,,,,30000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT","beam10, energy10, no_sell, no_dealer, no_drop, no_drop_salvage, hide_in_codex",,Threat,,Anti Hull,,,,,"Hits on hull and armor will reduce hull by %s per second. This damage is not reduced by armor, and will degrade the target's hull directly even when armor is still present.",100,,,,20
Voltaic Flechette Launcher,asm_flechette,3,,9000,800,,25,100,3,30,22,,,,KINETIC,15,,0,0.1,1,,,5,1,15,,1000,,3.5,50,,,PD,"kinetic16, pd16, archaic_c, threat, asm_threat, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Threat,,PD / Suppression,Fast,None,,,"Projectile can be %s by point defense systems. On armor or hull hit, each flechette has a %s chance to unleash an EMP arc for %s energy and %s EMP damage. If this ship is surrounded by a %s, arcs will also form on shield hits against targets at high flux.",intercepted | 20% | 50 | 200 | Fragment Swarm,%s: does not benefit from ballistic or missile bonuses. This weapon requires special hullmods to extend its range.,Archaic,,9
Voltaic Multipulser,asm_voltaic_multipulser,3,,10000,800,,250,500,0,12,26,12,1,1,ENERGY,350,,0,0.5,,,,0,0,0,,5000,,0.5,100,,,,"energy18, threat, asm_threat, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Threat,,General,,,,,"Hits will generate a voltaic arc that inflicts %s extra energy and EMP damage to either the target shields, or to a random location on an unshielded hull. If this ship is surrounded by a %s, a secondary arc will %s towards another nearby enemy ship or strike craft within %s su.",100% | Fragment Swarm | chain | 800,,,,10
    Voltaic Burst System,asm_voltaic_burst,,,,1,,,,,,,,,,ENERGY,,,0,0.1,,,,,,,,1,,0.1,,,,SYSTEM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Onslaught Radical Rearming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anathema Autocannon,orr_ana,0,,70000,900,,300,300,30,0,,,,,KINETIC,330,,0,4,5,0.25,0,10,2,10,,1000,,,150,,,"SYSTEM, SHOW_IN_CODEX","no_sell, no_drop, no_drop_salvage, anathema_ac",,Luddic Church,,Anti Shield,,,,,"Hits against hull and shields at high flux emit an energy arc on impact, dealing an additional %s EMP damage.

%s: Loses %s su base range on ships without Heavy Ballistics Integration.",200 | Heavy Recoil | 200,%s: These built-in weapons can be extracted and installed on another Onslaught or related hull.,Removable,,40
Anathema Autocannon,orr_ana_short,0,,70000,700,,300,300,30,0,,,,,KINETIC,330,,0,4,5,0.25,0,10,2,10,,1000,,,150,,,"SYSTEM, SHOW_IN_CODEX","no_sell, no_drop, no_drop_salvage, anathema_ac",,Luddic Church,,Anti Shield,,,,,"Hits against hull and shields at high flux emit an energy arc on impact, dealing an additional %s EMP damage.

%s: Weapon range reduced to %s su due to lack of Heavy Ballistics Integration.",200 | Heavy Recoil | 700,%s: These built-in weapons can be extracted and installed on another Onslaught or related hull.,Removable,,40
