name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Onslaught RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressor,orr_aggressor_base,Battlecruiser,Low Tech,ammofeed,25,13000,1350,14500,,600,270,,40,50,25,10,10,2500,FRONT,,180,0.4,1,,,500,1000,200,300,10,30,8,300000,3,12,720,0.25,40,40,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,4,,501
Onslaught,orr_onslaught_base,Battleship,Low Tech,burndrive,28,20000,1750,17000,,600,360,,25,10,10,4,4,3500,PHASE,damper,,,,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,4,,500
Onslaught (DPL),orr_onslaught_dpl,Battleship,Domain Phase Lab,burndrive,30,20000,1600,18000,,800,360,,30,10,10,4,4,3500,FRONT,,180,0.4,0.8,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,4,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Dummy Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invictus,vice_invictus_base,Dreadnought,Lion's Guard,highenergyfocus,35,40000,2000,30000,,500,240,,35,15,15,4,4,10000,FRONT,,270,1.2,0.8,,,4000,6000,1000,800,20,40,6,700000,3,12,1200,0.25,60,60,,,,,,,"HIDE_IN_CODEX, NEVER_DODGE_MISSILES",no_dealer,,0.2,2,2,,511.1
Paragon,vice_paragon_base,Battleship,Remnant,vice_massdeployment,30,18000,1500,25000,,1250,370,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,60,60,,,,,,,HIDE_IN_CODEX,no_dealer,,0.6,2,4,,504.5
Preceptor,vice_preceptor_base,Escort Carrier,Sindrian Diktat,vice_targetingsweep,10,4500,250,2700,,170,85,2,60,35,15,25,20,400,OMNI,,150,0.4,0.8,,,55,120,250,70,2,35,9,36000,4,8,360,0.25,9,9,,,,,,,HIDE_IN_CODEX,no_dealer,,0.6,2,3,,305
Unifier,vice_unifier_base,Fight Deck Cruiser,Lion's Guard,maneuveringjets,14,8000,1000,11000,,700,155,2,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,,,,,,HIDE_IN_CODEX,no_dealer,,0.5,2,3,,401.5
Venture,vice_venture_base,Cruiser,Pirate,fastmissileracks,10,10000,1250,7000,,300,115,1,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,80,300,600,180,3,60,7,70000,5,10,540,0.25,14,14,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,3,,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Dummy EX Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellicose,vice_bellicose_base,Cruiser,High Tech,microburn,16,8000,800,10000,,700,150,,60,35,30,20,25,2000,OMNI,,210,0.429,0.6,,,70,180,120,90,3,30,9,150000,5,15,420,0.25,27,27,,,,,,,HIDE_IN_CODEX,no_dealer,,0.5,2,3,,347.9
Equalizer,vice_equalizer_base,Battleship,High Tech,vice_capacitors,28,11000,1100,21000,,1150,305,,35,12,18,8,8,2200,OMNI,,180,0.348,0.7,,,300,400,225,200,8,25,7,400000,5,20,720,0.25,55,55,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,2,,351.9
Flamebreaker,vice_flamebreaker_base,Cruiser,High Tech,vice_capacitors,15,9000,1000,12500,,900,180,,50,20,20,16,16,2000,OMNI,,180,0.4,0.6,,,100,250,200,100,4,25,8,200000,4,16,480,0.25,30,30,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,4,,347.9
Howler,vice_howler_base,Frigate,High Tech,vice_flux_shunt,7,1500,200,3000,,200,50,,140,200,150,75,200,200,OMNI,,150,0.4,0.6,,,10,25,50,30,1,30,10,22000,5,10,240,0.25,6,6,,,,,,,HIDE_IN_CODEX,no_dealer,,0.5,2,2,,400.9
Hyperion,vice_hyperion_base,Advanced Gunship,High Tech,phaseteleporter,15,2500,250,8000,,500,65,,120,175,150,50,100,200,FRONT,,300,0.6,0.6,,,5,15,10,15,1,15,10,95000,8,40,120,0.25,15,15,,,,,,,HIDE_IN_CODEX,no_dealer,0.5,0.75,2,2,,202.9
Intrepid,vice_intrepid_base,Battleship,High Tech,microburn,30,17000,1500,22000,,1250,310,,35,30,20,7,10,3500,FRONT,,180,0.48,0.8,,,400,1000,300,300,10,30,7,550000,4,20,720,0.25,50,50,,,,,,,HIDE_IN_CODEX,no_dealer,,0.6,2,4,,509.9
Iris,vice_iris_base,Destroyer,High Tech,flarelauncher_active,10,2500,350,5500,,300,60,,55,40,40,30,60,250,FRONT,,360,0.4,0.6,,,25,35,30,40,2,20,9,45000,5,15,300,0.15,10,10,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,2,,339.9
Mandrake,vice_mandrake_base,Destroyer,High Tech,vice_capacitors,9,3000,200,6000,,500,95,,100,80,60,35,60,300,OMNI,,180,0.4,0.8,,,35,50,50,40,2,20,9,55000,5,15,300,0.25,11,11,,,,,,,HIDE_IN_CODEX,no_dealer,,0.6,2,3,,301.9
Tigershark,vice_tigershark_base,Cruiser,High Tech,plasmajets,17,7000,800,11000,,800,160,,75,55,55,30,30,1500,OMNI,,150,0.5,0.6,,,75,175,150,90,3,30,8,180000,4,20,420,0.25,30,30,,,,,,,HIDE_IN_CODEX,no_dealer,,0.4,2,2,,346.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevalier,vice_champion_auto,Automated Cruiser,Project Mayfly,vice_dem_strike,20,10000,1250,10000,,600,180,2,70,45,30,20,20,1500,OMNI,,210,0.4,0.7,,,0,0,150,150,4,38,8,200000,4,12,480,0.25,30,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_dealer, no_autofit, auto_rec",,0.5,2,4,,401.5
Hemlock,vice_heron_auto,Automated Carrier,Project Mayfly,vice_massdeployment,17,6000,750,5000,,400,120,4,85,60,40,20,25,800,OMNI,,210,0.5,0.7,,,0,0,90,60,3,20,8,160000,3,12,360,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","no_dealer, no_autofit, auto_rec",,0.5,2,3,,407.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
