name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Conquest (II),conquest_ii,Battlecruiser,II Battlegroup,plasmajets,30,12000,1200,20000,30000,1200,350,,45,20,15,6,4,2500,OMNI,,90,0.4,1.4,,,400,500,300,300,10,30,8,900000,3,15,600,0.25,50,50,,,,,,,COMBAT,"rare_bp, hist3t",,,0.5,0.5,2,4,,
Eagle (II),eagle_ii,Cruiser,II Battlegroup,plasmajets,16,8000,1000,11000,14000,700,175,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,300000,3,12,480,0.25,24,24,,,,,,,COMBAT,"rare_bp, hist3t",,,0.5,0.5,2,3,,
Hammerhead (II),hammerhead_ii,Destroyer,II Battlegroup,ammofeed,12,5000,500,4200,4167,250,100,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,120000,5,12,360,0.25,12,12,,,,,,,COMBAT,"rare_bp, hist3t",,,0.5,0.5,2,3,,
Brawler (II),brawler_ii,Gunship,II Battlegroup,plasmajets,8,2000,450,3000,3125,250,60,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,36000,8,10,300,0.25,8,8,,,,,,,COMBAT,"rare_bp, hist3t",,,0.5,0.4,2,2,,
Invictus (II),invictus_ii,Dreadnought,II Battlegroup,ammofeed,40,40000,10000,30000,12500,500,200,,35,15,15,4,4,10000,PHASE,canister_flak,0,0,0,,,4000,6000,1000,800,20,40,6,2100000,3,12,1200,0.25,75,75,,,,,,,"NEVER_DODGE_MISSILES, COMBAT","rare_bp, hist3t",,,0.5,0.2,2,5,,
Heron (II),heron_ii,Battlecarrier,II Battlegroup,targetingfeed,16,6000,750,5000,6000,300,125,2,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,360000,3,12,360,0.25,25,25,,,,,,,"CARRIER, NO_AUTO_ESCORT, COMBAT","rare_bp, hist3t",,,0.5,0.5,2,3,,
Trident (II),trident_ii,,II Battlegroup,,,500,25,500,,50,0,,130,150,125,30,90,50,OMNI,,180,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Broadsword (II),broadsword_ii,,II Battlegroup,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Warthog (II),warthog_ii,,II Battlegroup,flarelauncher_fighter,,750,200,200,,50,0,,130,180,150,100,200,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Condor (II) (A),condor_iia,Auxiliary Carrier,II Battlegroup Auxilia,fastmissileracks,9,5000,500,2200,1833,110,50,1,50,40,30,20,10,400,OMNI,,120,0.4,1.2,,,90,150,120,30,2,15,9,48000,5,10,360,0.25,10,10,,,,,,,"CARRIER, NO_AUTO_ESCORT, COMBAT","rare_bp, hist3t",,,,0.5,2,3,,
Atlas (II) (A),atlas_iia,Superfreighter,II Battlegroup Auxilia,maneuveringjets,7,8000,250,4000,5000,200,80,,25,5,2,3,2,4000,OMNI,,45,0.5,1,,,50,100,2000,400,6,67,6,112500,2,20,720,0.25,10,10,200,333,,,,,"CIVILIAN, FREIGHTER","rare_bp, hist3t",,,,0.7,2,4,,
Champion (II),champion_ii,Heavy Cruiser,II Battlegroup,highenergyfocus,18,10000,1250,10000,11000,550,175,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,375000,4,12,480,0.25,28,28,,,,,,,COMBAT,"rare_bp, hist3t",,,0.5,0.5,2,4,,
Kite (II) (A),kite_iia,Shuttle,II Battlegroup Auxilia,maneuveringjets,3,900,150,1400,1000,80,40,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,9,6000,5,20,180,0.25,3,3,,,,,,,COMBAT,"rare_bp, hist3t",,,,0.75,2,2,,217
Shepherd (II) (A),shepherd_iia,Drone Tender,II Battlegroup Auxilia,maneuveringjets,4,1200,200,1500,1250,100,30,1,90,120,70,90,180,200,OMNI,,90,0.5,1.2,,,15,30,100,40,1,40,9,15000,8,20,240,0.25,3,3,33,,,,,,CARRIER,"rare_bp, hist3t",,,,0.5,2,2,,216
