id,trigger,conditions,script,text,options,notes
"#RULESET_NAME JDP",,,,,,
,,,,,,
# Crisis Options,,,,,,
,,,,,,
# Luddic Church,,,,,,
jdp_lcMakeDealHostile,DialogOptionSelected,"$option == lcMakeDeal
RepIsAtBest luddic_church HOSTILE score:100
$global.jdp_has_interfector score:1000","SetTooltip jdp_churchInterfector ""Leverage your 'functional' Planetkiller Launch Vehicle""
SetTooltipHighlights jdp_churchInterfector ""Planetkiller Launch Vehicle""
SetOptionColor jdp_churchInterfector highlight","""Regretfully, I see no possibility for such an accord to be approved with a-"" $heOrShe catches $himOrHerself. ""With one who is engaged in direct hostilities against the Church of Galactic Redemption."" 

""The Knights have a holy mission! Hammer in one hand, sword in the other, I pray they see it done,"" $heOrShe says fiercely.

Meanwhile, the $post's hand appears to have wandered toward a secondary console and is frantically tapping what you assume is some kind of alert signal.","jdp_churchInterfector:""I have a Hammer of my own, you do not want to see it fall."" (Threat)",
jdp_lcMakeDealTakeoverUntrustworthy,DialogOptionSelected,"$option == lcMakeDeal
$player.untrustworthy > 2 score:200
$global.jdp_has_interfector score:1000","SetTooltip jdp_churchInterfector ""Leverage your 'functional' Planetkiller Launch Vehicle""
SetTooltipHighlights jdp_churchInterfector ""Planetkiller Launch Vehicle""","""Your reputation has spread like... like a plague, $playerSirOrMadam."" The $post looks disgusted as $heOrShe speaks, ""Were the Knights inclined to negotiate, they would know better than to deal with an oathbreaker like you. You hold nothing sacred, not even your own word.""

""Hammer in one hand, sword in the other, I pray the Knights see their work done,"" $heOrShe says fiercely.

Meanwhile, the $post's hand appears to have wandered toward a secondary console and is frantically tapping what you assume is some kind of alert signal.","jdp_churchInterfector:""I have a Hammer of my own, you do not want to see it fall."" (Threat)","# The player is not trustworthy (due to their other actions, not due to cancelling this deal) and the Church will not deal with them."
jdp_churchInterfector,DialogOptionSelected,"$option == jdp_churchInterfector","FireAll LCMakeDealOptions","""You refer to the Avatar of Moloch in orbit of one of your colonies,"" $heOrShe concludes quietly. ""It is an abomination to all that is holy and good. Its mere existence is a crime against humanity and God alike, and I had prayed you would not wish to discuss it.""

""I will pray for you, captain, so that you will someday find the path. I believe that you are capable of embodying virtue, that in the future you will choose right action over the self."" The $post holds still for a long, uncomfortable moment. ""Until then, The Knights are willing to negotiate to avoid the wrath of your constructed Demon.""

$HeOrShe reaches for a book - paper - and begins to cite population statistics. ""I'm sure an unbeliever so godlessly cynical as yourself know the numbers on your own colonies. We desire our flock to be returned to us.""",,
"#END Luddic Church",,,,,,
,,,,,,
# Sindria,,,,,,
jdp_SDMakeDealHostile,DialogOptionSelected,"$option == sdMakeDeal
RepIsAtBest sindrian_diktat HOSTILE score:100
$global.jdp_has_interfector score:1000","RemoveOption sdMakeDeal
SetTooltip jdp_sindrianterfectorSelect ""Leverage your 'functional' Planetkiller Launch Vehicle""
SetTooltipHighlights jdp_sindrianterfectorSelect ""Planetkiller Launch Vehicle""
SetOptionColor jdp_sindrianterfectorSelect highlight","""You're an open enemy of the Sindrian Diktat, and an itinerant spacer degenerate besides."" $HeOrShe leans back, looking disgusted. ""Plead as you might, there will be no merciful outcome for... elements... carrying out open, terroristic war against the Andradan movement.""

""I trust that system patrols have already reported your position to High Command and, as we speak, the mighty warfleets of the Supreme Executor are making their approach,"" $heOrShe says, examining a fingernail. ""I have time to wait. Do you?""","jdp_sindrianterfectorSelect:""You misunderstand. I have the makings of another Opis at my command."" (Threat)",
jdp_SDMakeDealUntrustworthy,DialogOptionSelected,"$option == sdMakeDeal
$player.untrustworthy > 2 score:200
$global.jdp_has_interfector score:1000","RemoveOption sdMakeDeal
SetTooltip jdp_sindrianterfectorSelect ""Leverage your 'functional' Planetkiller Launch Vehicle""
SetTooltipHighlights jdp_sindrianterfectorSelect ""Planetkiller Launch Vehicle""
SetOptionColor jdp_sindrianterfectorSelect highlight","""I see truly what you are: spacer trash. You'll lie to me, you'll like to anyone and say anything to save your own skin. You'll sell anyone for your ill-gained profiteering off Andradan greatness. I despise your kind, $playerName.""

""However."" $HeOrShe smiles cruelly. ""There is a place for you in the glorious future forged by the Sindrian Diktat."" 

""You will become a justly vanquished enemy; a bit of vermin, stomped out. You will be extinguished by the might of Supreme Executor Philip Andrada's perfect vision for our future.""

""Make the most of your remaining time, spacer. Inevitability approaches.""","jdp_sindrianterfectorSelect:""You misunderstand. I have the makings of another Opis under my command."" (Threat)",
jdp_SDAttemptNegotiation,DialogOptionSelected,"$option == sdDeal_negotiate
$global.jdp_has_interfector score:1000","RemoveOption sdDeal_negotiate
SetTooltip jdp_sindrianterfectorSelect ""Leverage your 'functional' Planetkiller Launch Vehicle""
SetTooltipHighlights jdp_sindrianterfectorSelect ""Planetkiller Launch Vehicle""
SetOptionColor jdp_sindrianterfectorSelect highlight","The stylus stops spinning, the $post's eyes turn to you. $HeOrShe looks almost confused.

""There is no negotiation with the will of the Supreme Executor.""

$HeOrShe puts the stylus down. ""The Lion has shown such restraint with upstarts like you. Of course, in my heart, I know his long-term vision will produce the best possible world for all of us - those who have a part in his vision, that is - but... there's nothing I desire more than to turn degenerate scum like you to into ash."" $HeOrShe stares at you for a long moment, unblinking.","jdp_sindrianterfectorSelect:""You misunderstand. I have the makings of another Opis at my command."" (Threat)",
