id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
jdp_trident_wing,jdp_trident_Bomber,"bomber6, bomber, mid, rare_bp, hist1t, merc",3,0.25,8,25,V,4000,2000,600,1,BOMBER,Bomber,25,14000,,,,,,,,,,,,,13
jdp_pup_wing,jdp_pup_Escort,"stay_in_front_of_ship, support3, fighter, no_drop, no_sell, restricted",3,0,8,35,V,5000,1000,,1,SUPPORT,Support,10,`,,,,,,,,,,,,,13
jdp_vertex_wing,jdp_vertex_Arc,"fighter2, interceptor, no_drop, no_sell, restricted",3,0.5,7,18,CLAW,4000,300,500,5,FIGHTER,Support,15,10000,,,,,,,,,,,,,2
jdp_barbican_wing,jdp_barbican_Bomber,"auto_fighter, no_drop, no_sell, restricted, hide_in_codex, bomber, bomber5, codex_unlockable",3,,5,25,V,4000,2500,300,5,BOMBER,Strike Drone,25,8000,,,,,,,,,,,,,21
jdp_keep_wing,jdp_keep_Fighter,"auto_fighter, no_drop, no_sell, restricted, hide_in_codex, bomber, bomber5, codex_unlockable",3,,6,30,V,4000,500,,3,FIGHTER,Fighter Drone,10,6000,,,,,,,,,,,,,23
jdp_manjusaka_wing,jdp_manjusaka_Fighter,"fighter2, interceptor, no_drop, no_sell, restricted, jdp_groundSupportFighter",3,0,8,30,V,4000,2000,,2,FIGHTER,Multirole Fighter,30,150000,,,,,,,,,,,,,13
jdp_relay,jdp_relay_Drone,"bomber6, bomber, mid, rare_bp, hist1t, merc",3,0.25,8,25,V,4000,2000,600,1,BOMBER,Drone,25,14000,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
