id,type,frame,magnitude,map,path
kyeltziv_bakot,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_bakot_normal.png
kyeltziv_bellis_canister,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_bellis_canister_normal.png
kyeltziv_bellis,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_bellis_normal.png
kyeltziv_drumfire_avtomat_missile,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_drumfire_avtomat_missile_normal.png
kyeltziv_garaj,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_garaj_normal.png
kyeltziv_halke,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_halke_normal.png
kyeltziv_mauste_xlrm,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_mauste_xlrm_normal.png
kyeltziv_mauste_xlrm_sub,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_mauste_xlrm_sub_normal.png
kyeltziv_mine,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_mine_normal.png
kyeltziv_perennis,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_perennis_normal.png
kyeltziv_shockDriverShell,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_shockDriverShell_normal.png
kyeltziv_thap_f,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_thap_f_normal.png
kyeltziv_thap,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_thap_normal.png
kyeltziv_trocar_latched,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_trocar_latched_normal.png
kyeltziv_trocar_limpet,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_trocar_limpet_normal.png
kyeltziv_vedha_b,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_vedha_b_normal.png
kyeltziv_vedha,missile,,1.5,normal,graphics/maps/normals/missiles/kyeltziv_vedha_normal.png
shell_packet,missile,,1.5,normal,graphics/maps/normals/missiles/shell_packet_normal.png
,,,,,
kyeltziv_asteryx,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_asteryx_normal.png
kyeltziv_bel_drone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_bel_drone_normal.png
kyeltziv_bystro,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_bystro_normal.png
kyeltziv_cirsium_sym,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_cirsium_sym_normal.png
kyeltziv_culv_drone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_culv_drone_normal.png
kyeltziv_cynara,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_cynara_normal.png
kyeltziv_dazhbog_ex,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_dazhbog_ex_normal.png
kyeltziv_dazhbog,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_dazhbog_normal.png
kyeltziv_dazhbog_sym,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_dazhbog_sym_normal.png
kyeltziv_dobrynya,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_dobrynya_normal.png
kyeltziv_dombeya,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_dombeya_normal.png
kyeltziv_heavyPiperDrone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_heavyPiperDrone_normal.png
kyeltziv_heavySpotterDrone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_heavySpotterDrone_normal.png
kyeltziv_heavyTargetingDrone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_heavyTargetingDrone_normal.png
kyeltziv_helianthus,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_helianthus_normal.png
kyeltziv_hSymDrone,ship,,1.5,normal,graphics/maps/normals/ships/kyeltziv_hSymDrone_normal.png
