name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
### Modular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###### Ballistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Galvanic Howitzer,kyeltziv_light_galv_hwz,1,,800,800,,160,,7,18,8,,,,ENERGY,160,,0.6,1,1,,2,12,2,10,,400,,,20,,,,"energy8, he7, kinetic7, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Close Support,,,,,Advanced targeting systems allow shots to be fired over allied vessels.,,,,,11001
Galvanic Howitzer,kyeltziv_galv_hwz,2,,2400,1000,,320,,15,12,14,,,,ENERGY,336,,0.7,1.1,1,,2,12,2,10,,400,,,60,,,,"energy15, he14, kinetic14, LR, rare_bp, merc",,Kyeltziv Technocracy,,Close Support,,,,,Advanced targeting systems allow shots to be fired over allied vessels.,,,,,11002
Galvanic Bombard,kyeltziv_galv_bombard,3,0.7,4800,1200,,700,,30,6,27,,,,ENERGY,770,,0.8,1.3,1,,2,12,2,10,,400,,,100,,,,"energy18, he17, kinetic17, LR, rare_bp, merc",,Kyeltziv Technocracy,,Close Support,,,,,Advanced targeting systems allow shots to be fired over allied vessels.,,,,,11003
Shock Culverin,kyeltziv_shock_culverin,1,,800,700,,60,15,4,24,7,,,,KINETIC,54,,0,0.4,1,,0,6,1,10,,900,,,20,,,,"kinetic8, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 15 Energy | 30 EMP,,,,11004
Shock Cranequin,kyeltziv_cranequin,2,,2000,800,,240,,50,15,13,,,,KINETIC,216,,0.2,1.5,2,0.3,1,10,3,8,,1100,,,30,,,,"kinetic15, LR, rare_bp, merc",,Kyeltziv Technocracy,,Anti Shield,,,,,,,,,,11005
Shock Palliser,kyeltziv_shock_palliser,3,0.8,4000,900,,250,40,15,10,22,,,,KINETIC,275,,0,0.666666,1,,0,10,1.5,10,,900,,,80,,,,"kinetic19, rare_bp, merc",,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.",50 Energy | 0-3 | 40 Energy | 60 EMP,,,,11006
Fusion Buster,kyeltziv_buster,1,,800,700,,50,,4,20,7,,,,HIGH_EXPLOSIVE,50,,0.05,1,4,0.05,2,16,1.5,6,,800,,,10,,,,"he8, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Anti Armor,,,,,"Each projectile has a %s chance to detonate on impact, dealing an additional %s damage.",20% | 25 Energy,,,,11007
Light Killcloud Projector,kyeltziv_light_killCloud,0,,300,300,,20,,3,70,5,,,,FRAGMENTATION,1,,0,0.6,1,,5,8,1.5,2,,800,,,30,,,PD,"pd8, SR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Point Defense,,,,Spread,,,,,,11008
Heavy Killcloud Projector,kyeltziv_heavy_killCloud,2,0.9,1500,450,,50,,6,50,12,,,,FRAGMENTATION,15,,0,0.8,1,,6,9,1.5,2,,700,,,50,,,PD,"pd15, SR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Point Defense,,,,Spread,,,,,,11009
Packet Cycler,kyeltziv_packet,1,0.8,900,500,,30,,3,30,6,40,2.5,5,ENERGY,24,,0,0.1,1,,3,13,1,8,,1000,,,10,,,,"energy9, he9, kinetic8, SR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Assault,,,,,Each projectile deals an additional %s damage to armor. This damage is not reduced by armor.,12,,,,11010
Packet Ribaldequin,kyeltziv_packetRib,2,0.8,2700,600,,80,,5,15,13,30,2,5,ENERGY,64,,0,0.4,5,0.1,5,15,1,8,,1100,,,10,,,,"energy15, he16, kinetic13, SR, rare_bp, merc",,Kyeltziv Technocracy,,Assault,,,,,Each projectile deals an additional %s damage to armor. This damage is not reduced by armor.,32,,,,11011
Shock Fougasse,kyeltziv_shock_fougasse,2,0.8,2000,600,,90,120,8,12,12,,,,ENERGY,90,,0,2.0,1,,18,24,3,3,,650,,,20,,,,"energy15, kinetic15, SR, rare_bp, merc",,Kyeltziv Technocracy,,Suppression,,,,Spread,"Hits will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.
Arcs can pierce Shields, but arc damage is halved when doing so.",0-2 | 30 Energy | 60 EMP,,,,11012
Lorentz Rifle,kyeltziv_lorentz,0,,1200,900,,400,50,32,16,10,,,,FRAGMENTATION,200,,0.1,1.1,1,,0,12,2,8,,1200,,,20,,,,"kinetic13, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,General,,,,,"In addition to the main projectile, the casing of each shell shatters into %s fragments that each deal %s damage.",4 | 25 Kinetic,,,,11013
Twin Lorentz Rifle,kyeltziv_lorentzTwin,0,,3600,950,,400,50,32,12,20,,,,FRAGMENTATION,190,,0.1,0.9,2,0.2,0,12,2,8,,1200,,,20,,,,"kinetic17, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,General,,,,,"In addition to the main projectile, the casing of each shell shatters into %s fragments that each deal %s damage.",4 | 25 Kinetic,,,,11014
Shock Springald,kyeltziv_springald,1,,800,700,,120,180,8,16,6,,,,ENERGY,144,,0.2,1.8,1,,4,8,1,6,,650,,,20,,,,"energy6, kinetic8, LR, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Suppression,,,,,"Hits will generate %s EMP arcs, each dealing %s and %s damage. The humber of arcs scales with target's flux level.
Arcs can pierce Shields, but arc damage is halved when doing so.",0-3 | 45 Energy | 90 EMP,,,,11015
Fusion Houfnice,kyeltziv_fusionHoufnice,2,0.9,2200,900,,160,,10,15,12,,,,HIGH_EXPLOSIVE,200,,0,1.333333,1,,5,15,2,9,,650,,,30,,,,"he16, LR, rare_bp, merc",,Kyeltziv Technocracy,,Anti Armor,,,,,"Each projectile has a %s chance to detonate on impact, dealing an additional %s damage.",20% | 80 Energy,,,,11016
Compact Shock-Driver,kyeltziv_compact_shock_driver,3,0.6,2600,1000,,240,100,120,12,14,4,0.375,,KINETIC,320,,0.4,1.2,1,,,,,,,850,450,9,200,,5,"GUIDED_POOR, DIRECT_AIM","kinetic16, LR, rare_bp, merc",,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. The number of arcs scales with target's flux level.",80 Energy | 1-4 | 50 Energy | 150 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###### Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle Discharger,kyeltziv_light_discharger,0,,300,400,,30,,1,90,4,,,,ENERGY,20,,0,0.75,1,,,,,,,1500,,,10,,,PD,"pd7, energy6, SR, kyeltziv_weapon_bp",,Kyeltziv Technocracy,,Point Defense,,,,,"Projectiles are fired in a jet, with pinpoint accuracy but variance in velocity.",,,,,11101
Heavy Particle Discharger,kyeltziv_heavy_discharger,1,,1500,500,,30,,2,50,8,,,,ENERGY,20,,0,0.6,1,,,,,,,1500,,,20,,,PD,"pd12, SR, kyeltziv_weapon_bp",,Kyeltziv Technocracy,,Point Defense,,,,,"Projectiles are fired in a jet, with pinpoint accuracy but variance in velocity.",,,,,11102
Stutter Beam,kyeltziv_stutter,2,0.9,400,600,250,,,0,100,5,6,1.333333,2,ENERGY,,200,0,0,0.2,0.1,,,,,800000,,,,,,,"PD,ANTI_FTR","pd8, beam8, rare_bp, merc",,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11103
Graviton Sweeper,kyeltziv_graviton_sweeper,2,0.8,2000,600,100,,50,30,45,10,,,,KINETIC,,80,0.1,0.1,,,,,,,2500,,,,,,,"PD,ANTI_FTR","pd14, beam11, kinetic10, rare_bp, merc",,Kyeltziv Technocracy,,Point Defense,,,,,The beams gravitic effect slows and pushes targets off-course. This effect is most noticeable vs fighters and missiles.,,,,,11104
Smart Blaster,kyeltziv_smart_blaster,2,0.7,2000,550,,150,,5,50,10,,,,ENERGY,100,,0.1,0.9,1,,,,,,,1000,,,40,,10,"PD,ANTI_FTR,IGNORES_FLARES","pd14, rare_bp, merc",,Kyeltziv Technocracy,,Point Defense,,,,,"Projectiles feature limited ability to track targets.
Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.",decoy flares,,,,11105
ESP Beam,kyeltziv_esp_beam,2,0.65,400,800,225,,150,6,25,5,,,,ENERGY,,247.5,0.1,0.2,0.3,0.4,,,,,800000,,,,,,,,"beam9, LR, rare_bp, merc",,Kyeltziv Technocracy,,General,,,,,The charge carried by the beam slows the target and hampers their ability to turn.,,,,,11106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###### Missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thap Support Missile,kyeltziv_thap,0,,250,2400,,400,200,30,30,5,3,0.0625,1,FRAGMENTATION,,,0,3,1,,,,,,,400,50,10,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility12, missile1, kyeltziv_weapon_bp",,Kyeltziv Technocracy,,Suppression,Fast,Good,,,"On impact, missile releases chaff that distracts hostile point defense.",,,,TRUE,11201
Thap Support Missile Pod,kyeltziv_thap_pod,1,,1500,2400,,400,200,30,10,10,6,0.125,2,FRAGMENTATION,,,0,2.4,2,0.6,,,,,,400,50,10,500,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility12, missile2, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Suppression,Fast,Good,,,"On impact, missile releases chaff that distracts hostile point defense.",,,,TRUE,11202
Garaj Cruise Missile Launcher,kyeltziv_garaj,2,,6000,4000,,1600,1000,160,10,20,2,0.05,1,FRAGMENTATION,,,0,7.5,1,,,,,,,360,50,24,1200,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile10, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Suppression,Fast,Medium,,,"%s seconds after launch the missile begins deploying chaff that distracts hostile point defenses.
On impact a spread of %s submunitions detonate, each dealing %s damage.",2 | 7 | 400 Fragmentation,,,TRUE,11203
Halke Anti-Ship Missile,kyeltziv_halke,1,,200,2000,,800,,30,10,3,2,,,HIGH_EXPLOSIVE,,,0,4,1,,,,,,,350,100,10,250,,,DO_NOT_AIM,"missile7, strike7, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Finisher,Medium,Medium,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,120,,,TRUE,11204
Halke Anti-Ship Missile Pod,kyeltziv_halke_pod,2,,1200,2000,,800,,30,10,10,12,,,HIGH_EXPLOSIVE,,,0,9.7,2,0.3,,,,,,350,100,10,250,,,DO_NOT_AIM,"missile12, strike12, rare_bp, merc",,Kyeltziv Technocracy,,Finisher,Medium,Medium,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,120,,,TRUE,11205
Halke Anti-Ship Missile Array,kyeltziv_halke_array,3,0.8,5000,2000,,800,,30,10,20,24,,,HIGH_EXPLOSIVE,,,0,9.4,3,0.3,,,,,,350,100,10,250,,,DO_NOT_AIM,"missile17, strike16, rare_bp, merc",,Kyeltziv Technocracy,,Finisher,Medium,Medium,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,120,,,TRUE,11206
Bakot Kinetic Kill Missile,kyeltziv_bakot,1,,200,2500,,500,,100,30,4,4,,,KINETIC,,,0,3,1,,,,,,,550,60,10,300,,,DO_NOT_AIM,"missile8, strike3, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Anti Shield,Very Fast,Medium,,,,,,,TRUE,11207
Bakot Kinetic Kill Missile Pod,kyeltziv_bakot_pod,2,,1200,2500,,500,,100,10,10,18,,,KINETIC,,,0,9.4,3,0.3,,,,,,550,60,10,300,,,DO_NOT_AIM,"missile13, strike9, rare_bp, merc",,Kyeltziv Technocracy,,Anti Shield,Very Fast,Medium,,,,,,,TRUE,11208
Vedha Pulse Rocket Launcher,kyeltziv_vedha,2,0.9,300,2000,,80,,5,30,6,10,0.15625,5,ENERGY,20,,0,5.6,5,0.6,,,,,,600,80,5.25,70,,,"DO_NOT_AIM, DIRECT_AIM, MISSILE_SPREAD","utility12, missile6, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Fire Support,Very Fast,Medium,,,On impact increases the target's soft flux level by %s.,40,,,,11209
Vedha Pulse Rocket Pod,kyeltziv_vedha_pod,2,0.8,1600,2500,,80,,10,20,12,30,0.3125,10,ENERGY,20,,0,5.3,10,0.3,,,,,,600,80,6.5,70,,,"DO_NOT_AIM, DIRECT_AIM, MISSILE_SPREAD","utility14, missile12, rare_bp, merc",,Kyeltziv Technocracy,,Fire Support,Very Fast,Medium,,,On impact increases the target's soft flux level by %s.,40,,,,11210
Vedha Pulse Rocket Battery,kyeltziv_vedha_battery,3,0.7,6000,2500,,80,,10,15,24,80,0.625,20,ENERGY,20,,0,5.15,20,0.15,,,,,,600,80,6.5,70,,,"DO_NOT_AIM, DIRECT_AIM, MISSILE_SPREAD","utility19, missile18, rare_bp, merc",,Kyeltziv Technocracy,,Fire Support,Very Fast,Medium,,,On impact increases the target's soft flux level by %s.,40,,,,11211
Perennis Shock Missile Pod,kyeltziv_perennis_pod,0,,300,1000,,100,20,10,50,4,60,,,ENERGY,,,0,2.25,2,0.25,,,,,,750,100,4,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility9, missile1, kyeltziv_weapon_bp, merc",,Kyeltziv Technocracy,,Anti Small Craft,Very Fast,Good,,,"Hits on armor and hull have two %s chances to generate EMP arcs, each dealing %s and %s damage. The chance scales with target's flux level.",10-50% | 20 Energy | 30 EMP,,,,11212
Bellis Canister Launcher,kyeltziv_bellis_pod,1,,1500,1200,,800,,40,20,8,20,,,FRAGMENTATION,,,0,7.5,1,,,,,,,400,50,6,250,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility13, missile3, kyeltziv_weapon_bp",,Kyeltziv Technocracy,,Anti Fighter,Fast,Good,,,"On nearing its target, the canister missile fires a burst of 12 Bellis anti-fighter SRMs",,,,TRUE,11213
Avtomat Drumfire Missile,kyeltziv_avtomat_drumfire,3,0.7,350,2000,,200,,15,10,5,4,,,KINETIC,,,0,6,1,,,,,,,500,100,30,300,,,DO_NOT_AIM,"missile9, strike3, rare_bp, merc",,Kyeltziv Technocracy,,Anti Shield,Medium,Medium,,,"Missile slows when approaching its target and fires a burst of 30 light kinetic projectiles, before re-engaging its engine for a final strike dealing %s damage.",200 Kinetic,,,TRUE,11214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### Built-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tappi Autogun,kyeltziv_tappi,,,,240,,8,,1,120,,,,,FRAGMENTATION,1,,0,0.1,1,,0,4,0.5,6,,600,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11301
Twin Tappi Autogun,kyeltziv_tappi_twin,,,,240,,8,,1,120,,,,,FRAGMENTATION,1,,0,0.05,1,,0,8,0.5,12,,600,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11302
Niitti Autogun,kyeltziv_niitti,,,,320,,15,,2,120,,,,,FRAGMENTATION,2,,0,0.15,1,,1,6,0.5,10,,800,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11303
Twin Niitti Autogun,kyeltziv_niitti_twin,,,,320,,15,,2,120,,,,,FRAGMENTATION,2,,0,0.075,1,,1,10,0.5,10,,800,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11304
Piikki Burst Rifle,kyeltziv_piikki,,,,560,,20,,3,120,,,,,FRAGMENTATION,4,,0,0.6,3,0.1,0,8,0.5,8,,900,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11305
Neula Light Burst Rifle,kyeltziv_neula,,,,500,,10,,1,120,,,,,FRAGMENTATION,2,,0,0.75,4,0.05,1,9,0.5,8,,800,,,10,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11306
Galvanic Arquebus,kyeltziv_galv_arquebus,,,,700,,90,,4,18,,,,,ENERGY,90,,0.4,0.7,1,,6,16,2,6,,400,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Close Support,,,,,Advanced targeting systems allow shots to be fired over allied vessels.,,,,,11307
Nok Rocket Rack,kyeltziv_nok_rack,,,,900,,80,,5,3,,,,,KINETIC,,,0,8.2,4,0.6,0,0,0,0,,500,100,6.5,80,,,"SYSTEM, DO_NOT_AIM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD",codex_require_related,,Kyeltziv Technocracy,,Suppression,Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,11308
Galvanic Mortar,kyeltziv_galv_mortar,,,,1200,,130,,6,18,,,,,ENERGY,130,,0.6,1,1,,4,16,2,6,,400,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Close Support,,,,,Advanced targeting systems allow shots to be fired over allied vessels.,,,,,11309
Shock Falconet,kyeltziv_shock_falconet,,,,500,,55,10,4,20,,,,,KINETIC,50,,0,0.5,1,,1,9,1,10,,850,,,20,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11310
Light Fusion Buster,kyeltziv_buster_light,,,,500,,50,,4,20,,,,,HIGH_EXPLOSIVE,40,,0.05,1.4,4,0.05,6,16,1.5,6,,800,,,10,,,"SYSTEM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Armor,,,,,Each projectile has a %s chance to detonate on impact dealing an additional %s damage.,20% | 25 Energy,,,,11311
Shock-Driver,kyeltziv_driver,,,,1200,,600,100,300,5,,,,,KINETIC,900,,1,2,1,,,,,,,900,600,10,400,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,SHOCK_DRIVER_ONLY,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. Number of arcs scales with target's flux level.",150 Energy | 1-5 | 100 Energy | 150 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11312
Volley-Fire Shock-Driver,kyeltziv_volley_driver,,,,1100,,300,50,150,5,,,,,KINETIC,450,,0.5,1.75,4,0.25,,,,,,900,600,10,240,,5,"SYSTEM, GUIDED_POOR, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,SHOCK_DRIVER_ONLY,Kyeltziv Technocracy,,Bombardment,Very Fast,Poor,,,"Hits on shield cause the round's shock core to overload, dealing %s damage.
Hits on armor and hull will generate %s EMP arcs, each dealing %s and %s damage. Number of arcs scales with target's flux level.",75 Energy | 0-3 | 50 Energy | 75 EMP,Projectile tracking is enhanced by the installation of %s or by any other source of improved %s maneuverability.,ECCM | Missile,,11313
Vedic Pulse Rocket Rack,kyeltziv_vedha_fighter,,,,1200,,160,,10,10,,6,,,ENERGY,,,0,1,6,0.3,30,50,4,5,,500,80,4.5,140,,,"SYSTEM, DO_NOT_AIM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, DIRECT_AIM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Strike,Fast,Medium,,,On impact increases the targets soft flux level by %s.,80,,,TRUE,11314
Bellis Missile Pack,kyeltziv_bellis_pack,,,,500,,160,,5,10,,9,0.3,3,FRAGMENTATION,,,0,2.7,3,0.15,,,,,,450,100,8,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Fighter,Fast,Excellent,,,,,,,,11315
Perennis Shock Missile Pack,kyeltziv_perennis_pack,,,,1000,,100,20,10,10,,,,,ENERGY,,,0,4,1,,,,,,,750,100,3,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Small Craft,Very Fast,Good,,,"Hits on armor and hull have two %s chances to generate EMP arcs, each dealing %s and %s damage. The hance scales with target's flux level.",10-50% | 20 Energy | 30 EMP,,,,11316
Thap Support Missile (Fighter),kyeltziv_thap_fighter,,,,2500,,250,100,30,30,,,,,FRAGMENTATION,,,0,6,1,,,,,,,400,50,10,400,,,"SYSTEM, DO_NOT_AIM, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Suppression,Fast,Good,,,"On impact, missile releases chaff that distracts hostile point defense.",,,,TRUE,11317
Cutting Laser,kyeltziv_cutting_laser,,,,600,60,,,0,80,,,,,ENERGY,,20,0.15,0.15,0.5,0.6,,,,,4000,,,,,,,"SYSTEM, PD, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Point Defense,,,,,,,,,,11318
Shock Falconet,kyeltziv_shock_falconet_light,,,,500,,45,10,4,20,,,,,KINETIC,45,,0,0.5,1,,2,12,1,8,,850,,,20,,,"SYSTEM, PD, PD_ALSO, SHOW_IN_CODEX",codex_require_related,,Kyeltziv Technocracy,,Anti Shield,,,,,"Hits on armor and hull have a %s chance to generate an EMP arc, dealing %s and %s damage. Chance scales with target's flux level.",10-30% | 10 Energy | 20 EMP,,,,11319
