name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,sModDesc,short,sprite
#名字,#id,,,#设计类型,#tag,#装配界面显示的分组,#基础价值,,#是否隐藏,,#护卫装配,#驱逐装配,#巡洋装配,#主力装配,#文件位置,#描述,#内置描述,#简单描述,#图
Cliff System,ssp_cliff,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_cliff,string.json,,,graphics/hullmods/ssp_cliff_hullmod.png
Bias Targeting Subsystems,ssp_bias,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_bias,string.json,,,graphics/hullmods/ssp_bias_hullmod.png
Maglev Turret Mounts,ssp_vocaino_rangemod,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_vocaino_rangemod,"Maglev technology significantly reduces the friction generated by the ship's turrets when they rotate, as well as greatly improving the turrets' stability.
-Reduces all weapon recoil by %s, and increases turret turn rate by %s.
-Increases the range of ballistic/energy weapons by %s.",,,graphics/hullmods/ssp_vocaino_rangemod.png
Arc Field,ssp_SystemUsedTimes,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_ArcField,Spawns arcs that hit nearby enemy ships and fighters for %s energy damage each.,,,graphics/hullmods/ssp_assault_enhance.png
Focused Shield,ssp_shieldmod,,,Loulan,"shields, defensive",Shields,,,true,,0,0,0,0,data.hullmods.ssp_shieldmod,string.json,,,graphics/hullmods/ssp_shieldmod.png
Aerial Assault Package,ssp_combatcarrierdeck,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_combatcarrierdeck,"A unique combat program that allows fighter pilots to control their craft via a neural link. Despite the limited range forced by the limits of the neural links, the fighters can gain increased maneuverability and speed.
-Fighters' maneuverability and top speed is increased by %s.
-Fighters' operational range is reduced by %s.
-%s decrease in crew losses from fighter destruction.
-Hangar-based d-mods will no longer occur on this ship.",,,graphics/hullmods/ssp_combatcarrierdeck.png
High-Density Shield,ssp_gonggong_shieldmod,,,Loulan,special,Special,,,true,,0,0,0,0,data.hullmods.ssp_gonggong_shieldmod,"A rare prototype shield generator.
- High shield upkeep, but impeccable shield efficiency.
- Converts %s of hard flux generated when shields take damage into soft flux.",,,graphics/hullmods/ssp_shieldmod.png
Privateer Configuration,ssp_civiliankiller,,,Loulan,special,special,,,true,,0,0,0,0,data.hullmods.ssp_civiliankiller,"A unique combat computer with a built-in Delta-class AI core that exhibits behaviors not unlike a pirate captain. The system is optimized for destroying weaker targets; though this becomes a liability when faced with tougher foes.

-Damage dealt to capital ships is reduced by %s.
-Damage dealt to cruisers is increased by %s.
-Damage dealt to destroyers is increased by %s.
-Damage dealt to frigates is increased by %s.

-Damage dealt to ships with a %s is increased by %s, regardless of whether the %s hullmod is present or not.",,,graphics/hullmods/ssp_civiliankiller.png
Missile Shield Plugin,ssp_Temporaryshield,,,Loulan,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_Temporaryshield,,,,
Abyss Gate,ssp_voidrift_hullmod,,,,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_voidrift_hullmod,Regularly spawns drones to attack the player's fleet.,,,
Overload Immunity,ssp_overloadprotection,,,,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_overloadprotection,,,,
"#3 range-mods, max 1 pick",,,,,,,,,,,,,,,,,,,
Range-Mod: Optical,ssp_T_beam,,,Loulan,"offensive,standard","Weapons,LLI Range-Mod",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_beam,"A set of cryoarithmetic fire-control computers, providing powerful performance enhancements for beam weapons.
-Increases the range of beam weapons by up to %s, depending on the ship's flux level.
-Beam weapons deal up to %s additional damage to shields depending on the ship's flux level, and have a chance of up to %s of dealing hard flux damage.
-Disables non-beam weapons, except for weapons in ballistic slots, missile weapons, or built-in weapons.
-Incompatible with %s and %s.",,,graphics/hullmods/ssp_T_beam.png
Range-Mod: Breakthrough,ssp_T_shortrange,,,Loulan,"offensive,standard","Weapons,LLI Range-Mod",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_shortrange,"Greatly enhances the ship's thrusters at the cost of the fire control computers being scrambled, but allowing for more specialized weakpoint exploitation.
-Decreases the range of ballistic and energy weapons by %s, depending on the ship's size.
-Increases the ship's maneuverability and top speed by %s.
-Hits to armor and hull deal up to %s more damage the closer they are to the target's aft.
-Hits to shields deal up to %s more damage the closer they are to the rim of the shield.
-Incompatible with %s.",,,graphics/hullmods/ssp_T_shortrange.png
Range-Mod: Improved,ssp_T_longrange,,,Loulan,"offensive,standard","Weapons,LLI Range-Mod",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_longrange,"Reduces the strength of the ship's thrusters to allow the fire control computers to work more efficiently, providing a temporary range increase for the ship's weapons.
-Reduces maneuverability and top speed by %s, but the zero-flux speed boost will be increased equally to the top speed reduction.
-Increases the range of non-PD ballistic and energy weapons by %s, depending on the ship's size. This bonus is gradually reduced whenever a non-PD weapon fires.
-The above bonus is gradually restored while no weapons are firing, regenerating faster at low flux levels.
-The rate of recovery is greatly increased when the ship is actively venting.",,,graphics/hullmods/ssp_T_longrange.png
"#3 system-mods, max 1 pick",,,,,,,,,,,,,,,,,,,
System-Mod: Alteration,ssp_SYS_p,,,Loulan,"special, no_build_in","Special,LLI System-Mod",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_p,string.json,,,graphics/hullmods/ssp_SYS_p.png
System-Mod: Optimization,ssp_SYS_s,,,Loulan,"special, no_build_in","Special,LLI System-Mod",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_s,string.json,,,graphics/hullmods/ssp_SYS_s.png
System-Mod: Core,ssp_SYS_c,,,Loulan,"special, no_build_in","Special,LLI System-Mod",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_c,Doubles the effect of the Cliff System.,,,graphics/hullmods/ssp_SYS_c.png
"#5 tactics-mods, max 2 picks",,,,,,,,,,,,,,,,,,,
Tac-Mod:Frenzy,ssp_CLIFF_fluxdepression,,,Loulan,"special, no_build_in,ssp_CLIFF_basehullmod","Special,LLI Tactics-Mod",1000,TRUE,,,3,6,9,15,data.hullmods.ssp_CLIFF_fluxdepression,string.json,,,graphics/hullmods/ssp_CLIFF_fluxdepression.png
Tac-Mod:Last Wish,ssp_CLIFF_safetyoverride,,,Loulan,"special, no_build_in,ssp_CLIFF_basehullmod","Special,LLI Tactics-Mod",1000,TRUE,,,10,25,40,60,data.hullmods.ssp_CLIFF_safetyoverride,string.json,,,graphics/hullmods/ssp_CLIFF_safetyoverride.png
Tac-Mod:Transmission,ssp_CLIFF_deliver,,,Loulan,"special, no_build_in,ssp_CLIFF_basehullmod","Special,LLI Tactics-Mod",1000,TRUE,,,2,4,6,10,data.hullmods.ssp_CLIFF_deliver,string.json,,,graphics/hullmods/ssp_CLIFF_deliver.png
Tac-Mod:Persistence,ssp_CLIFF_morehp,,,Loulan,"special, no_build_in,ssp_CLIFF_basehullmod","Special,LLI Tactics-Mod",1000,TRUE,,,2,4,6,10,data.hullmods.ssp_CLIFF_morehp,"-The effects of Tactics-Mods on the ship's hull are modified by %s.
-The hull-drain effect of the %s generated by Tactics-Mod:Plunder is increased to %s.
-Cliff system effectiveness %s.",,,graphics/hullmods/ssp_CLIFF_morehp.png
Tac-Mod:Plunder,ssp_CLIFF_lifesteal,,,Loulan,"special, no_build_in,ssp_CLIFF_basehullmod","Special,LLI Tactics-Mod",1000,TRUE,,,3,6,9,15,data.hullmods.ssp_CLIFF_lifesteal,string.json,,,graphics/hullmods/ssp_CLIFF_lifesteal.png
