name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Snake,missp_path_patrol_craft,,Luddic Path,flarelauncher_fighter,,1200,250,1200,,100,0,,175,400,350,75,180,100,NONE,,,,0,,,8,8,,,,,,,,,,,,,,LP_bp,,0,,,556
Condor (LP),missp_path_condor,Light Carrier,Luddic Path,flarelauncher,8,4500,250,2000,1750,100,40,2,40,30,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,40,30,2,15,9,30000,5,10,360,0.25,9,9,CARRIER,LP_bp,,0.5,2,3,557
Dominator (LP),missp_path_dominator,Heavy Cruiser,Luddic Path,burndrive,12,9000,1200,8000,7000,300,120,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,150,150,5,30,8,80000,4,12,540,0.25,18,18,,LP_bp,,0.4,2,3,559
Eagle (LP),missp_path_eagle,Cruiser,Luddic Path,burndrive,10,7000,800,8000,8000,400,80,,50,30,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,80000,3,12,480,0.25,16,16,,LP_bp,,0.5,2,3,560
Enforcer (LP),missp_path_enforcer,Destroyer,Luddic Path,burndrive,8,4000,600,3000,2500,150,50,,60,40,20,30,20,500,OMNI,,150,0.4,1.2,,,60,100,90,90,3,30,9,30000,5,12,420,0.25,7,7,,LP_bp,,0.5,2,3,561
Falcon (LP),missp_path_falcon,Light Cruiser,Luddic Path,burndrive,8,5000,600,5500,5000,250,60,,75,50,30,20,25,650,FRONT,,270,0.4,0.8,,,100,180,120,100,3,33,9,60000,4,12,480,0.25,12,12,,LP_bp,,0.5,2,3,562
Hammerhead (LP),missp_path_hammerhead,Destroyer,Luddic Path,burndrive,8,4000,400,3500,3500,200,45,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,30000,5,12,360,0.25,8,8,,LP_bp,,0.5,2,3,563
Hermes (LP),missp_path_hermes,Frigate,Luddic Path,flarelauncher,2,1500,200,1000,1000,75,10,,125,90,90,90,120,125,OMNI,,120,0.5,1,,,4,10,50,15,0.5,30,9,3000,5,20,180,0.25,2,2,,LP_bp,,0.5,2,3,564
Mercury (LP),missp_path_mercury,Frigate,Luddic Path,flarelauncher,2,1200,200,1000,1000,75,10,,135,100,100,90,120,125,OMNI,,120,0.5,0.8,,,4,30,20,15,0.5,30,9,3000,5,20,180,0.25,2,2,,LP_bp,,0.5,2,3,565
Mudskipper Mk.II (LP),missp_path_mudskipper,Frigate,Luddic Path,flarelauncher,4,1500,200,1000,1000,75,5,,90,80,50,45,60,200,NONE,,0,0,0,,,5,20,25,40,1,40,9,10000,5,20,180,0.25,4,4,,LP_bp,,0.5,2,3,566
Mule (LP),missp_path_mule,Destroyer,Luddic Path,burndrive,8,5000,500,2500,2000,125,40,,60,40,20,20,15,500,OMNI,,120,0.4,1,,,40,100,250,80,2,40,9,30000,5,10,420,0.25,7,7,,LP_bp,,0.5,2,3,567
Nebula Mk.III (LP),missp_path_nebula,Destroyer,Luddic Path,flarelauncher,8,2500,300,1500,1500,100,30,,55,35,20,20,12,450,FRONT,,150,0.5,1,,,40,300,120,80,2,40,8,30000,4,20,240,0.25,7,7,,LP_bp,,0.5,2,3,568
Starliner Mk.III (LP),missp_path_starliner,Fast Carrier,Luddic Path,flarelauncher,12,5000,400,3000,3000,150,100,1,45,20,10,10,10,900,FRONT,,150,0.5,1,,,200,500,300,120,3,40,7,80000,3,20,480,0.25,18,18,"CARRIER, LINER",LP_bp,,0.5,2,3,569
Tarsus Mk.II (LP),missp_path_tarsus,Destroyer,Luddic Path,flarelauncher,8,4000,300,2000,2000,125,40,,45,35,25,25,15,400,OMNI,,120,0.5,1.2,,,50,80,300,80,2,40,8,25000,5,20,420,0.25,5,5,,LP_bp,,0.5,2,3,570
Venture (LP),missp_path_venture,Cruiser,Luddic Path,burndrive,14,8000,1000,6000,5000,250,60,,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,150,350,350,120,3,40,7,100000,5,10,540,0.25,15,15,,LP_bp,,0.5,2,3,571
Wolf (LP),missp_path_wolf,Frigate,Luddic Path,maneuveringjets,4,2500,300,2000,1500,150,30,,150,130,100,60,120,200,FRONT,,150,0.4,0.8,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,3,3,,LP_bp,,0.5,2,3,572
