id,hullIds,name,spriteId,unlockedAutomatically,tags,unlockConditions,description,Column 09
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id. Examples: magiclib_fury_racing, magiclib_onslaught_pirate,,,,,,,
# hullIds: Required. The ids of the hull that this paintjob applies to. Must contain at least one valid hull id.,,,,,,,,
# name: Required. The name of the paintjob.,,,,,,,,
# spriteId: Required. The path or spriteName of the ship sprite.,,,,,,,,
# unlockedAutomatically: Optional, default true. If true, the paintjob is unlocked by default. Otherwise, it must be manually unlocked using code (e.g. in achievement complete code).,,,,,
# tags: Optional.,,,,,,,,
#    MagicLib_PermanentPJ: The paintjob is permanent. It cannot be removed or changed by the player.,,,,,,,,
#    MagicLib_ShinyPJ: The paintjob will appear in NPC fleets very rarely. It is permanent and **cannot be unlocked by the player**.,,,,,,,,
# unlockConditions: Optional, default none. How to unlock the paintjob. Aim for one or two sentences.,,,,,,,
# description: Optional, default none. The description of the paintjob. Aim for one or two sentences.,,,,,,,
,,,,,,,,
nes_champion_ivory,champion,Ivory Bastion,graphics/ships/paintjobs/champion_ivory.png,true,,,Source: NES'S SAW,
nes_heron_ivory,heron,Ivory Bastion,graphics/ships/paintjobs/heron_ivory.png,true,,,Source: NES'S SAW,
nes_sunder_ivory,sunder,Ivory Bastion,graphics/ships/paintjobs/sunder_ivory.png,true,,,Source: NES'S SAW,
nes_hammerhead_ivory,hammerhead,Ivory Bastion,graphics/ships/paintjobs/hammerhead_ivory.png,true,,,Source: NES'S SAW,
nes_eagle_ivory,eagle,Ivory Bastion,graphics/ships/paintjobs/eagle_ivory.png,true,,,Source: NES'S SAW,
nes_falcon_ivory,falcon,Ivory Bastion,graphics/ships/paintjobs/falcon_ivory.png,true,,,Source: NES'S SAW,
nes_gryphon_ivory,gryphon,Ivory Bastion,graphics/ships/paintjobs/gryphon_ivory.png,true,,,Source: NES'S SAW,
nes_drover_ivory,drover,Ivory Bastion,graphics/ships/paintjobs/drover_ivory.png,true,,,Source: NES'S SAW,
nes_paragon_automata,paragon,Automata,graphics/ships/paintjobs/paragon_automata.png,true,,,Source: NES'S SAW,
nes_astral_automata,astral,Automata,graphics/ships/paintjobs/astral_automata.png,true,,,Source: NES'S SAW,
nes_aurora_automata,aurora,Automata,graphics/ships/paintjobs/aurora_automata.png,true,,,Source: NES'S SAW,
nes_fury_automata,fury,Automata,graphics/ships/paintjobs/fury_automata.png,true,,,Source: NES'S SAW,
nes_shrike_automata,shrike,Automata,graphics/ships/paintjobs/shrike_base_automata.png,true,,,Source: NES'S SAW,
nes_medusa_automata,medusa,Automata,graphics/ships/paintjobs/medusa_automata.png,true,,,Source: NES'S SAW,
nes_scarab_automata,scarab,Automata,graphics/ships/paintjobs/scarab_automata.png,true,,,Source: NES'S SAW,
nes_hyperion_automata,hyperion,Automata,graphics/ships/paintjobs/hyperion2_automata.png,true,,,Source: NES'S SAW,
nes_omen_automata,omen,Automata,graphics/ships/paintjobs/omen_automata.png,true,,,Source: NES'S SAW,
