id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
#Carnelian,,,,,,,,
nes_carnelian_agent,nes_carnelian,Agent,carnelian_agent,graphics/ships/nes_carnelian_agent.png,true,,,"Shaken, Not Stirred"
nes_carnelian_redhand,nes_carnelian,Redhand,carnelian_redhand,graphics/ships/nes_carnelian_redhand.png,true,,,We Know
nes_carnelian_reef,nes_carnelian,Reef,carnelian_reef,graphics/ships/nes_carnelian_reef.png,true,,,Coral
nes_carnelian_toxic,nes_carnelian,Toxic,carnelian_toxic,graphics/ships/nes_carnelian_toxic.png,true,,,Venomous
nes_carnelian_turquoise,nes_carnelian,Turquoise,carnelian_turquoise,graphics/ships/nes_carnelian_turquoise.png,true,,,Retro
nes_carnelian_vintage,nes_carnelian,Vintage,carnelian_vintage,graphics/ships/nes_carnelian_vintage.png,true,,,Timeless
nes_carnelian_moonbunny,nes_carnelian,Moon Bunny,carnelian_moonbunny,graphics/ships/nes_carnelian_moonbunny.png,true,,,Dark Side
,,,,,,,,
#Carnelian Wings,,,,,,,,
nes_drone_carnelian_attacker_agent,nes_drone_carnelian_attacker,Agent,carnelian_agent,graphics/ships/drones/nes_drone_carnelian_attacker_agent.png,true,,,
nes_drone_carnelian_attacker_redhand,nes_drone_carnelian_attacker,Redhand,carnelian_redhand,graphics/ships/drones/nes_drone_carnelian_attacker_redhand.png,true,,,
nes_drone_carnelian_attacker_reef,nes_drone_carnelian_attacker,Reef,carnelian_reef,graphics/ships/drones/nes_drone_carnelian_attacker_reef.png,true,,,
nes_drone_carnelian_attacker_toxic,nes_drone_carnelian_attacker,Toxic,carnelian_toxic,graphics/ships/drones/nes_drone_carnelian_attacker_toxic.png,true,,,
nes_drone_carnelian_attacker_turquoise,nes_drone_carnelian_attacker,Turquoise,carnelian_turquoise,graphics/ships/drones/nes_drone_carnelian_attacker_turquoise.png,true,,,
nes_drone_carnelian_attacker_vintage,nes_drone_carnelian_attacker,Vintage,carnelian_vintage,graphics/ships/drones/nes_drone_carnelian_attacker_vintage.png,true,,,
nes_drone_carnelian_attacker_moonbunny,nes_drone_carnelian_attacker,Moon Bunny,carnelian_moonbunny,graphics/ships/drones/nes_drone_carnelian_attacker_moonbunny.png,true,,,
