id,paintjobFamilies,weaponIds,spriteMap
nes_carnelian_deco_cover_agent,carnelian_agent,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_agent.png
nes_carnelian_deco_cover_redhand,carnelian_redhand,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_redhand.png
nes_carnelian_deco_cover_reef,carnelian_reef,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_reef.png
nes_carnelian_deco_cover_toxic,carnelian_toxic,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_toxic.png
nes_carnelian_deco_cover_turquoise,carnelian_turquoise,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_turquoise.png
nes_carnelian_deco_cover_vintage,carnelian_vintage,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_vintage.png
nes_carnelian_deco_cover_moonbunny,carnelian_moonbunny,nes_carnelian_deco_cover,graphics/ships/nes_carnelian_deco_cover.png -> graphics/ships/nes_carnelian_deco_cover_moonbunny.png
,,,
#crossmod stuff,,,
#rat,,,
raphael_cover_left_neontiger,neon_tiger,rat_raphael_cover_left,graphics/weapons/decorative/raphael/raphael_cover_left.png -> graphics/ships/crossmod/rat/raphael_cover_left_neontiger.png
raphael_cover_middle_neontiger,neon_tiger,rat_raphael_cover_middle,graphics/weapons/decorative/raphael/raphael_cover_middle.png -> graphics/ships/crossmod/rat/raphael_cover_middle_neontiger.png
raphael_cover_right_neontiger,neon_tiger,rat_raphael_cover_right,graphics/weapons/decorative/raphael/raphael_cover_right.png -> graphics/ships/crossmod/rat/raphael_cover_right_neontiger.png
