name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,tech/manufacturer,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
#Phobos drone,,,,,,,,,,,,,,,,,,
Phobos Core,NES_PhobosCore,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_PhobosCore,"Gives all point-defense weapons the ability to identify - and ignore - decoy flares. In addition, all weapons get the best possible target leading, regardless of combat readiness, all damage to missiles and fighters is increased by %s.",,graphics/hullmods/nes_phoboscore.png
,,,,,,,,,,,,,,,,,,
#Carnelian,,,,,,,,,,,,,,,,,,
Stormfeeder Array,NES_AafArray,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_AafArray,"Increases rate of fire and ammo/charge regeneration rate of non-missile weapons by %s,
Reduces flux use of non-missile weapons by %s,

Increases zero flux engine boost by %s su/s,
Increases ship's flux dissipation rate while venting by %s,

Drastically reduces weapon ranges past %s units,

Incompatible with %s.",brrrt,graphics/hullmods/nes_aafarray.png
,,,,,,,,,,,,,,,,,,
#Fluorspar,,,,,,,,,,,,,,,,,,
Crystalline Construction,NES_CrystalHull,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_CrystalHull,"Crystalline structure constantly oscillates, drastically reducing weapon ranges past %s units,

The same effect, when amplified, intensifies beams and may cause a %s whithin projectiles fired by the ship, increasing their destructive potential,

Increases ship's flux dissipation rate while venting by %s,

Incompatible with %s.",,graphics/hullmods/nes_crystalhull.png
Volatile Shells,NES_VolatileShells,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_VolatileShells,"That was your own fault
You should have paid attention
And looked through the lie.",QUAD DAMAGE,
GEMLOCK: GLITCH,NES_Glitch,,,dmod,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Glitch,":(
GEMLOCK has experienced a problem.

Status: 0x0000000000000000000000g

Info: An error has occured in gravitic fluctuator.

Attempting Recovery...

ERROR
ERROR
ERROR",,graphics/hullmods/nes_fluorspar_hullmod_d.png
,,,,,,,,,,,,,,,,,,
#Voltaire,,,,,,,,,,,,,,,,,,
Improved Turret Assembly,NES_StabilizedTurrets,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_StabilizedTurrets,"Increases the base range of small non-beam energy weapons by %s.

""Replacing key components with exotic alloys does wonders indeed! The cost? Well, you see...""
  - Huey Randolph, chief engineer",Increases small weapon range,graphics/hullmods/nes_stabilizedturrets.png
,,,,,,,,,,,,,,,,,,
#Hermitaur,,,,,,,,,,,,,,,,,,
Hot Loaded Missiles,NES_FluxMissiles,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_FluxMissiles,"Arming warheads and activating guidance systems inside the racks increases rate of fire, ammo/charge regeneration rate and reduces flux use for all missile weapons by %s,

The process is performed manually, with any mishandling resulting in exposure to deadly hazards. Crew casualties in combat are increased by %s.",missile knows where it is,graphics/hullmods/nes_fluxmissiles.png
,,,,,,,,,,,,,,,,,,
#Hampter,,,,,,,,,,,,,,,,,,
Tried and Tested,NES_TriedAndTested,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_TriedAndTested,"This ship was built with reliable, time-tested components and does not require excessive maintenance, extra nanoforge capacity can be brought online more easily, alloving the installation of a %s despite the ship already having a fighter bay, increasing the number of operational fighter bays to %s.

""Made of Sterner Stuff.""
  - Huey Randolph, chief engineer",ol' reliable,graphics/hullmods/nes_triedandtested.png
Flux Null-grid,NES_FluxGrid,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_FluxGrid,"Increases the ship's flux dissipation and capacity, including that of additional vents and capacitors, by a factor of %s,

The amount of damage taken by shields increased by %s,
The amount of soft flux raised shields generate per second increased by %s,

Top speed in combat reduced by %s.

""Unlimited power!""
  - Professor Sheev, faculty of high energy physics",hampterer hullmod,graphics/hullmods/nes_fluxnullgrid.png
