name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#Destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorspar,nes_fluorspar,Prototype Destroyer,Crystalline Tech,nes_crystaltemporalshell,12,2500,350,6000,,400,75,,100,90,60,60,90,300,OMNI,,240,0.3,0.7,,,30,60,60,60,2,30,9,69000,5,15,300,0.25,15,15,,,,,,,,"rare_bp, hist2t, merc",0.75,0.7,2,3,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampter,nes_hamter,Destroyer,Low Tech,reservewing,12,5500,750,5000,,300,85,1,80,60,40,60,90,500,OMNI,,140,0.4,1,,,60,80,45,45,3,15,9,42000,5,12,420,0.25,12,12,,,,,,,,"rare_bp, merc",,0.4,2,3,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermitaur,nes_hermitaur,Destroyer,Low Tech,burndrive,10,6500,950,4500,,250,100,,65,60,40,45,90,500,FRONT,,170,0.4,1,,,60,120,90,90,3,30,9,42000,5,12,420,0.25,10,10,,,,,,,,"rare_bp, merc",,0.4,2,3,,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerfall,nes_hammerfall,Salvage Hunter,Midline,maneuveringjets,10,5000,650,6500,,400,85,1,75,60,40,30,60,500,FRONT,,70,0.4,1.2,,,60,120,160,90,3,30,9,42000,5,12,360,0.25,9,9,,,,,,,,"rare_bp, merc",,0.5,2,3,,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnelian,nes_carnelian,Pursuit Destroyer,Midline,displacer,14,3500,450,8500,,500,90,2,120,160,100,60,90,360,FRONT,,270,0.4,0.8,,,60,90,90,60,2,30,10,69000,5,15,300,0.25,16,16,,,,,,,,"rare_bp, hist2t, merc",0.75,0.5,2,3,,204
#Cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volt,nes_voltaire,Heavy Cruiser,High Tech,microburn,15,9000,1200,12000,,800,165,1,60,40,30,15,20,2000,FRONT,,260,0.5,0.7,,,120,240,160,160,5,32,8,169000,4,12,420,0.25,25,25,,,,,,,,"rare_bp, hist1t, merc",,0.7,2,3,,301
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mover,nes_drone_borer,,,,,175,25,200,,100,,,175,200,200,180,360,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phobos,nes_drone_phobos,,,,,600,100,200,,100,,,300,400,400,200,400,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymophane,nes_drone_carnelian_defender,,,,,1200,200,200,,100,,,300,400,400,180,360,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrite,nes_drone_carnelian_attacker,,,,,800,100,2000,,300,,,300,400,400,180,360,5,NONE,,360,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
