id,type,text1,text2,text3,notes
rr_aeith,SHIP,"A lightweight highly agile gunship, capable of dealing crippling damage to isolated targets, but suffers when surrounded.

A corrupted blueprint was discovered by Tri-Tachyon R&D when analysing a wreck found deep in hyperspace, after painstaking work to restore it the result was the Aieth. It shows some design commonalities with the Hyperion, could potentially be a prototype or the result of parallel development, but the true answer is unclear.",,,
rr_buffaloeq,SHIP,"Apparently this was originally a Buffalo, before it was ran through a nanoforge sideways and ""repaired"" by overenthusiastic pirates. Can be surprisingly threatening to frigates, but It's best to just put the poor ship out of its misery.",,,
rr_rednus,SHIP,"A Sunder ran through a nanoforge in reverse, has a slightly narrower shield arc and gains some speed, but more contentiously exchanges the spinal large energy hardpoint for a pair of small synergy mounts.",,,
rr_susrat,SHIP,"A Tarsus ran through a nanoforge in reverse, somehow picked up a fighter bay in the process, vaguely combat capable but nowhere near the performance of a real combat vessel.",,,
rr_susrat_slv,SHIP,"A Susrat with half of a Salvage Rig bolted on to it, even less combat capable than the standard Susrat, but provides cargo storage and salvage capabilities in one package.",,,
rr_falconet_l,SHIP,"One Falcon went into a nanoforge and somehow a pair of Falconets came out, this half has a Ballistic turret. decently agile, but somewhat fragile.",,,
rr_falconet_r,SHIP,"One Falcon went into a nanoforge and somehow a pair of Falconets came out, this half has an Energy turret. Somewhat fragile, but decently agile.",,,
rr_surebrec,SHIP,"A Cerberus ran through a nanoforge in reverse. Came out as a light destroyer with an additional ballistic hardpoint, with a skilled pilot can potentially be more capable than the original.",,,
rr_surebrec_p,SHIP,"Some pirates got their hands on a Surebrec, and decided that they'd try bolting a Large missile hardpoint to the nose along with a suite of ""upgrades"", The resulting ship is a real terror if it gets into a favorable position, so kill it before it can.",,,
rr_inimeg,SHIP,"A Gemini ran through a nanoforge in reverse, lost its hangar bay but in exchange has a slightly upgraded flux core, a more standard combat freighter than the jack of all trades that the original is.",,,
rr_gryphon_b,SHIP,"A Gryphon modified to mount ballistic weaponry rather than missiles, also has an upsized flux core and a unique active cooling system to cope with the heavier power demands of its new weapons loadout.

The original variant of this modification to the Gryphon was from when a pirate fleet salvaged a crippled gryphon, and rather than attempt to repair the Missile Autoforge they replaced it with an additional flux core. The crudely modified pirate design proved itself a terror to shipping lanes, until it ran afoul of a hegemony detachment. Analysis of the design, and subsequent reproduction by qualified engineers, led to the Gryphon (B). It still has some legacy of its piratical origins with the inherently overclocked fuel injection systems that interfere with weapon targeting.",,,
rr_ox_2,SHIP,"A pirate modification of the Ox, strips out the drive field stabiliser, and converts it into something that could arguably pass as a combat vessel.",,,
rr_valkyrie_m2,SHIP,"An early model of the Valkrie troop transprot that has been converted to a direct combat vessel mounting a large ballistic mount. The addition of a Scope class sensor drone gives it range comparable to a crusier, the only drawback to this design is that even with an enhanced flux core, it has trouble managing the draw of firing its main weapon for sustained periods.

This ""Mark Two"" modification to the Valkyrie is an unusual one, conversions of logistical ships to combat roles are more common among pirates and scavengers, but that the hegemony and other major powers have taken do doing it as well shows how much they feel the need for additional combat suitable hulls.",,,
rr_cephalofoil,SHIP,"A Hammerhead ran though a nanoforge in reverse, the size of the frontal hardpoints somehow ended up swapped. Retains the advanced ballistic munitions feed system, while it only has smaller mounts that can take advantage of it, the Cephalofoil can nontheless deliver devastating (if limited) barrages of missiles thanks to its twin medium hardpoints.",,,
rr_rumbler,SHIP,"A pirate attempt to reverse engineer the Thunder Fighter. Inferior weaponry, speed and engagement distance, but has slightly improved armour.",,,
rr_khanda,SHIP,"The Khanda is one of the heavier craft in the sector able to be launched from a fighter bay. The rather impressive weapons load proves effective in its role as a point defense platform, despite this it can have some difficulty finishing off more heavily armoured fighters, but any fighters it can't kill are likely to be left with weapons and engines disabled leaving them easy targets for any nearby allies.",,,
rr_nemo,SHIP,"Based upon the some of the same core structural elements as the Omen, rather than an EMP emitter instead fields an array of advanced sensor and communications systems to fill a fleet support role.",,,
rr_concierge,SHIP,"Lightweight and only moderately armed, the Concierge is likely to lose in a slugging match with near enough any other combat vessel in the sector, but that is not what it was designed for. It truly shines when able to act as an escort to larger vessels, its integrated dedicated point defense sensors array allows it to decimate fighters and missiles with equal ease.",,,
rr_pilaster,SHIP,"The Pilaster is an awkward design, an attempt to produce a smaller scale version of the Portico. It falls short in weapons mounting options, but maintains a scaled down version of the specialised shield projector.",,,
rr_portico,SHIP,"Designed to act as a lineship, the Portico has a tremendously powerful oversized shield projector. Bringing the projector to full activation interferes with the engines but provides very effective protection, unfortunately the ship can only maintain this full shield activation for a limited period of time.",,,
rr_pteroma,SHIP,"A later development following on from the Portico, the Pteroma has the ability to mount a rather heavy spread of energy and missile weaponry, but its flux core can struggle with the demands of both its specialised shield projector and a full weapons mounting.

While typically relegated to a supporting role, if in the unlikely situation where it is allowed to close in on an unprepared target it can prove suprisingly deadly.",,,
rr_onquest,SHIP,"While the Conquest-class battlecruiser may be the embodiment of concentrated firepower, the Onquest is the embodiement of make-do and mend. To put simply, these vessels originate from taking a crippled Onslaught and Conquest, and merging them together. The result is suprisingly spaceworthy and can actually prove superior to the sum of its parts with the right captain at the helm.

Slightly superior in armour to the original Conquest but has slightly reduced top speed in exchange. The modified TPC that is now mounted in the nose of the ship allows for bursts of heavy firepower, but very few of the ships other weapons can be brought to bear alongside it, limiting tactical viability.",,,
rr_tamerlane,SHIP,"The design proposition for the Tamerlane was to act as a ""hunter-killer"" able to take down other frigates with ease and harass larger vessels. It proves reasonably effective in this role thanks to its interdiction system and impressive overall mobility. 

The ships highly flexible hybrid hardpoints allow for impressive tactical flexibility, but even with the vessel having a quite powerful flux core for its size, heavier weapons can run the risk of overtaxing it.",,,
rr_aruval,SHIP,"A modified maintenance drone with its tooling removed and replaced with a rack of light kinetic rockets, capable of providing some light fire support on a budget for front-line carriers, but is tremendously fragile and lacks in overall performance.",,,
rr_kirpan,SHIP,"A modified Khopesh bomber, not only have the rockets have been replaced with a quartet of Axle Microtorpedoes, but weight savings have been made by reducing armour coverage across the hull in order to slightly increase top speed.",,,
rr_urumi,SHIP,"A highly durable fighter that manages to sucessfully mount a needler giving it impressive anti-shield capabilities. Unfortunately has very limited capability to deal damage to armour, requiring a mixed strikecraft deployment to show its full potential.",,,
rr_piranha_p,SHIP,"A pirate modification of the Piranha, replaces the bomb bay with a pair of Arpo Missiles. Gains a notably increased chance to score hits on targets in exchange for a significant reduction in damage potential.",,,
rr_sojurn,SHIP,"Designed in the same shipyard responsible for the Odyssey and it shows. While lacking in heavier weapon mounts the Sojurn features a significant quantity of small energy mounts that are able to converge on a target, backed up with its PD Platforms this ship can prove highly tactically flexible.",,,
rr_shkiper,SHIP,Effectively a heavy-duty military grade ground-up redesign of the Shepherd using parts from formerly demilitarized Mora hulls. Has only half of the drone capacity of a Shepherd but in exchange gains a respectable missile mount and a damper field like the one seen on the Mora.,,,
rr_dominatrix,SHIP,"A sister design to the dominator, the reliance on missiles for firepower saw it sidelined when first introduced due to the ballistic dominated fleet doctrine of the era. More recently though it has seen some resurgence in popularity for its ability to carry a heavy load of missile firepower while still having very respectable defenses.",,,
rr_dram_eq,SHIP,"A damaged Dram that was ran through a nanoforge sideways, and ""repaired"" by overenthusiastic pirates. The ""Itano"" missile launch system that has replaced nearly all of the fuel storage capacity is loaded with whatever missiles the crew can fit into the launch tubes which gives it a somewhat inconsistent damage output, but it proves a potent threat to lighter vessels.",,,
rr_hooligan,SHIP,"One of the few ships that can be claimed to be an original Pirate design, little more than a heavyweight engine with large plates of armour and some weapon mounts bolted to it. While largely outclassed by nearly all other combat grade vessels in the sector, the Hooligan is still capable of acting as a loud and noisy distraction for long enough to let another vesssel sneak behind its target and deal a crippling blow.",,,
rr_concierge_p,SHIP,"Pirate modification of recovered Concierge hulls, the advanced point defence hardware has been completely stripped out in exchange for a massive array of Gyro Micromissiles. While the missiles are effective against fighters this modification typically lacks in anti-missile coverage compared to the original variant.",,,
rr_chivy,SHIP,"A simple support fighter, alongside point defense coverage the Chivy provides minor disruption with its Newt MRMs.",,,
