id,type,text1,text2,text3,notes
sa_pacemaker,SHIP,"In the cycles since the Collapse, many Hegemony Onslaughts have been irrecoverably lost to catastrophic battle damage. Yet lacking the cold practicality to simply gut them and scrap the hulks, the Hegemony donated many of these shattered ship-carcasses to the Luddic Church, who lacked any mainline capital option. Most of these ended up repurposed into shrines, museums, or pilgrim ships, but a few still had their original flux core and some of the central missile mounts, albeit in abysmal condition. 

Desperation and sacred devotion have joined forces to resurrect this corpse of a ship to serve the will of Ludd: whether as the shield of the faithful, or a vengeful hammer to smite the servants of Moloch. Breaches welded and sealed with blessed bulkheads and their unstable flux cores sanctified with sacred unguents, the Pacemaker limps forth to do battle once more in the name of the holy. Even in death does the Onslaught still serve.",,,
sa_scrapship,SHIP,"What one ship cannot do, another can; one post-collapse engineer thought this was a stupid compromise, and set himself to designing a ship that could do it all. The Scrapship manages it all with flexible loadout options and balanced logistical capacity in all aspects, and does so cheaply with easily sourced and mostly legal parts available at even the most remote of scrapyards. She's no specialist, and there's a better ship for each job, but ol' Scrappy is one of the few who can claim to do them all without costing your soul in credits, and she'll carry on for another two hundred cycles if Moloch doesn't get us all.",,,
sa_trocar,SHIP,"A custom job for a daredevil belt racer who made a winning strategy out of taking second place until the last, fatal second. When that dirty racer failed to throw a high stakes race, his sponsors had him tossed out the airlock and put his radical design to more pragmatic use. Where other belt racers were built to gracefully weave through tight asteroid clusters, the Trocar packs on cruiser-grade thrust and armor to simply plow through any obstacle short of a moon. Coupled with its brutal forward firepower, it fights like a jousting knight, rushing in with wild abandon and blasting out the other side, preferably through the wreckage of its target. The other option is a head-on collision, as the Trocar has only a crude analog nav wheel, per its original owner's eccentric design specs.",,,
sa_splint,SHIP,"The lesser half on an Onslaught's lost arm returned into a terrible life. Notable for it's ballistic complement focused around supporting the still intact TPC assembly and powered by a mixture of civillian and warship sublight drives, the Splint moves like a shade of it's past life, bringing the scythe of the reaper to those that dare see it as easy prey. The primary failing of the Splint-class is it's less than dependable hull integrity and unusually high rates of airlock accidents among those who crew these revenant vessels.",,,
sa_splintXIV,SHIP,"The lesser half on an Onslaught's lost arm returned into a terrible life. Notable for it's ballistic complement focused around supporting the still intact TPC assembly and powered by a mixture of civillian and warship sublight drives, the Splint moves like a shade of it's past life, bringing the scythe of the reaper to those that dare see it as easy prey. The primary failing of the Splint-class is it's less than dependable hull integrity and unusually high rates of airlock accidents among those who crew these revenant vessels.",,,
sa_elanus,SHIP,"Where the Skua was an exercise in compromise for the agile Falcon hull, the Elanus takes a far more direct approach. The base Skua features high density alloy armor plating and a massive armament overhaul, with the fighter bay replaced by a built-in hybrid mass driver. Combining a Hellbore's high explosive charge with a ferro-tungsten kinetic penetrator into a gauss cannon's accelerator coil, this unusual weapon system gives the Elanus both striking power and versatility, at the expense of speed and defensive armament.",,,
sa_elanus_lg,SHIP,"Modified for operations in the Askonia system under orders from Supreme Executor Philip Andrada, this hull includes integrated solar shielding as well as a peculiar internal cladding provided by an industrial conglomerate out of Sindria itself. That the chief designer, appointed by the Supreme Executor for his many cycles of loyal service, sits on the board of that conglomerate is simply an example of the unity and efficiency of the Sindrian Polity.

Where the Skua was an exercise in compromise for the agile Falcon hull, the Elanus takes a far more direct approach. The base Skua features high density alloy armor plating and a massive armament overhaul, with the fighter bay replaced by a built-in hybrid mass driver. Combining a Hellbore's high explosive charge with a ferro-tungsten kinetic penetrator into a gauss cannon's accelerator coil, this unusual weapon system gives the Elanus both striking power and versatility, at the expense of speed and defensive armament.",,,
sa_skua,SHIP,"Yet another refit of the ubiquitous Falcon, the Skua adds a slightly cramped fighter bay to the Falcon's flexible armament, positioned between its forward arms. Armor plating and safety bulkheads have been displaced to make room for the new autovats and a larger engine array, making the Skua even faster than its parent hull, though somewhat more frail. The addition of a fighter escort only further augments the tactical flexibility of the Falcon, permitting more offensive loadouts without sacrificing point defense.",,,
sa_scalpel,SHIP,"Contrary to popular belief, mining is not clumsy work. Blasters may look impressive, but it is precision mining lasers and drills operated by skillful hands which deftly separate silicate chaff from valuable transplutonic ore. The Scalpel is once such design, intended for operation in exceptionally hazardous environments. Whether through piratical desperation, or a misguided appraisal of this utility ship's sleek lines, the Scalpel has moonlighted as a raiding vessel or an assault recon ship. Thin as a rail and armed to the teeth with heavy energy weapons and a fierce missile complement, the Scalpel harvests ships with the same precision as it once harvested transplutonics.",,,
sa_scalpel_lp,SHIP,"An agressive, if unconventinal refit for pather fleets, this scalpel model has been stripped of it's energy weapon compatability in favor of ballistic technology, and an extensive removal of safeties to the point of system recovery being impossible.",,,
sa_mobster,SHIP,"Overgunned and overfluxed, the mobster turns the toothless Phaeton into a vicious gunboat. Pirate ingenuity shines here with the upgrades to the civilian-grade flux core, no less ill-advised than other, more intentionally suicidal overhauls to these pitiable fuel ships. AM fuel lines have been rerouted through the civilian flux core, resulting in capital-grade flux capacity and capital-grade volatility in the shipboard reactor, as well as a general loss of hull integrity around the flux conduits running through the ship. The cautious captain will pound his target from a safe distance, but a bold (or suicidal) captain can deliver a punishing drive-by salvo.",,,
sa_brace,SHIP,"Orbital stations are destroyed with tragic frequency in the Persean Sector, but unlike ships, their sheer bulk and non-mobile construction makes them profitable only as salvage and scrap. Yet every engineering challenge meets its match, and irrecoverable station debris may be reborn as a Brace: a station support battery welded onto massive scavenged engine arrays and covered in fighter bays, with firepower and a fighter complement to match a Legion, with vastly reduced maintenance costs. However, its inferior flux-core, jury-rigged from arrays of sputtering civilian-grade power generators, means it cannot stand in the line of battle as ruggedly as the respectable Legion. Yet many have ignored the Brace's fearsome frontal missile complement, ending up as more scrap to feed the terrible imaginations of more mad engineers.",,,
