name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
#########################,,,,,,,,,,,,,,,,,,
## Logistics,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
## Weapons,,,,,,,,,,,,,,,,,,
Quickload Missile Racks,hhe_MissileReload,2,,,offensive,Weapons,7500,,,,5,10,15,20,data.hullmods.scripts.hhe_MissileReload,Increases the reload rate and missile regeneration rate of missile weapons by %s.,Increases missile weapon reload rate.,graphics/hullmods/hhe_MissileReload.png
,,,,,,,,,,,,,,,,,,
## Fighter,,,,,,,,,,,,,,,,,,
Augmented Hangar Bay,hhe_DroneHangar,2,,Remnant,special,Fighters,6000,,,,2,4,7,10,data.hullmods.scripts.hhe_DroneHangar,The augmented hangar bay reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s and increases the rate at which it recovers by %s. All fighters deployed by this carrier has their weapon and engine repair rate increased by %s.,Improves fighter replacement refit rate and fighter repair rate in combat.,graphics/hullmods/hhe_DroneHangar.png
,,,,,,,,,,,,,,,,,,
SFL: Aegis System,hhe_sfl_AegisSystem,3,,S.F.L,special,Fighters,10000,,,,8,15,20,40,data.hullmods.scripts.hhe_sfl_AegisSystem,"The SFL: Aegis Subsystem as the name suggests improves fighter point-defense capabilities and effectiveness against missile threats.  The package installs a fighter-grade version of %s to the carrier's wings, with similar effects, except for the conversion of non-PD small weapons to become PD capable.  The range of all fighter PD weaponry is also increased by %s.

Unfortunately, all SFL systems add a bulk to the original design of the fighter which decreases the rate it recovers by %s, along with reducing cargo by %s.

%s",Increases durability of fighters.,graphics/hullmods/hhe_SFL_Aegis.png
SFL: Predator System,hhe_sfl_PredatorSystem,3,,S.F.L,special,Fighters,10000,,,,8,15,20,40,data.hullmods.scripts.hhe_sfl_PredatorSystem,"The SFL: Predator Subsystem is a loadout specifically designed premier space dogfighting.  Increases the damage inflicted by fighters to targets smaller than Capital Ships by an additive %s per size class.  Predator Subsystems also increase autofire accuracy of equipped fighters, increase the top speed of equipped fighters by %s, and dramatically improves fighter handling by installing %s on all craft.

Unfortunately, all SFL systems add a bulk to the original design of the fighter which decreases the rate it recovers by %s, along with reducing cargo by %s.

%s",Increases offensive capabilities of fighters.,graphics/hullmods/hhe_SFL_Predator.png
