name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Sentinel,hhe_sentinel,Supercarrier,Midline,flarelauncher,40,11000,1000,12000,,600,280,8,30,20,10,5,3,4000,FRONT,,90,0.6,0.8,,,600,1300,400,300,15,20,7,600000,3,15,720,0.25,60,60,CARRIER,rare_bp,,0.4,2,4,1989
Astral (E),hhe_astral_culann,Carrier,High Tech,hhe_sys_drones_tetra,27,10000,900,12000,,600,250,6,30,15,10,7,4,3000,FRONT,,360,0.7,0.6,,,450,1000,250,200,10,20,7,300000,3,15,600,0.25,40,40,CARRIER,rare_bp,,0.6,2,4,1989
Artificer,hhe_artificer,Battlecarrier,High Tech,fastmissileracks,22,12000,1200,14000,,700,250,4,50,25,15,8,6,2750,OMNI,,180,0.5,0.7,,,400,800,175,225,10,20,8,375000,3,12,720,0.25,40,40,"CARRIER, COMBAT",rare_bp,,0.5,2,4,1989
Broadsword (L),hhe_ftr_broadsword_ht,,High Tech,hhe_sys_flarelauncher_blue_single,,750,100,400,,50,0,,200,400,350,90,180,30,FRONT,,75,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,1989
Cazin,hhe_ftr_cazin,,Low Tech,hhe_sys_flarelauncher_single,,600,75,80,,9,0,,180,350,300,80,150,28,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,1989
Cazin (P),hhe_ftr_cazin_pirate,,Pirate,,,600,75,80,,9,,,180,350,300,80,150,28,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,
Ixwa,hhe_ftr_sarissa,,Low Tech,,,500,50,100,,40,0,,200,359,300,150,300,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,1989
Tinhead,hhe_ftr_bonnethead,,Midline,hhe_sys_flarelauncher_single,,800,150,120,,40,0,,150,300,275,180,240,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,1989
Brokkr,hhe_ftr_brokkr,,High Tech,hhe_sys_drones_brokkr,,750,50,250,,50,0,,150,250,250,90,180,30,OMNI,,135,0,1,,,4,4,,,,,,,,,,,,,,,,0,,,1989
Lucent,hhe_ftr_lucent,,Remnant,hhe_sys_flarelauncher_blue_single,,600,75,350,,50,0,,200,350,350,180,240,35,OMNI,,240,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,1989
Loki,hhe_ftr_loki,,High Tech,,,750,75,1000,,100,,,200,300,250,90,180,40,FRONT,,360,0,1,,,2,2,,,,,,,,,,,,,,,,,,,1989
Broadsword (LG),gg_broadsword_lg,,Low Tech,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,104
Broadsword (XIV),gg_broadsword_xiv,,Low Tech,flarelauncher_single,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,104
Gladius (LG),gg_gladius_lg,,Midline,flarelauncher_fighter,,500,75,200,,50,0,,300,400,300,150,300,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,109
Gladius (XIV),gg_gladius_xiv,,Midline,flarelauncher_fighter,,500,75,200,,50,0,,300,400,300,150,300,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,109
