name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
########################,########################,,,,,,,,,,,,,,,,,,,,,,,,
## SHIP SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Fleet,hhe_sys_SuperReserveWing,,,,,,0.66,,2,,0.1,,3,150,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
Tetra Drones,hhe_sys_drones_tetra,,,,,,,,12,0.2,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Brokkr Pulser Drones,hhe_sys_drones_brokkr,,,,,,,,5,0.2,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
,,,,,,,,,,,,,,,,,,,,,,,,,
########################,########################,,,,,,,,,,,,,,,,,,,,,,,,
## FIGHTER SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Decoy Flare Launcher,hhe_sys_flarelauncher_blue,,,,,,,,1,0.033,,,,5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Decoy Flare Launcher,hhe_sys_flarelauncher_blue_single,,,,,,,,1,0.033,,,,5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Decoy Flare Launcher,hhe_sys_flarelauncher_single,,,,,,,,1,0.033,,,,5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
########################,########################,,,,,,,,,,,,,,,,,,,,,,,,
####name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
