name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
##########################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## BALLISTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prickler PD Turret,hhe_prickler,0,,25,500,,50,,1,100,2,,,,FRAGMENTATION,15,,0,0.5,1,,0,0,0,0,,3000,,,10,PD,"pd1, SR, base_bp",,Common,,Point Defense,,,,,,,,,,1989
Heavy Vulcan Cannon,hhe_heavyvulcan,1,,1000,350,,25,,1,75,8,60,30,3,FRAGMENTATION,1,,0,0.05,,,7,24,0.75,5,,800,,,10,PD,"pd8, SR, lowtech_bp",,Common,,Point Defense,,,,,,,,,,1989
Desolator Cannon,hhe_devastator_sentinel,3,,,1050,,250,,60,15,30,,,,HIGH_EXPLOSIVE,150,,0,.3333,,,3,15,3,5,,1300,,,100,"PD, PD_ALSO, SYSTEM","he20, pd20",,Common,,Anti Fighter (Area),,,,,Shells are proximity-fused,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## MISSILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrieker Missile Pod,hhe_shrieker,1,,200,2500,,100,,15,50,2,15,0.3,3,FRAGMENTATION,0,,0,6.84,3,0.33,0,0,0,0,,225,75,20,75,"DO_NOT_AIM, DO_NOT_CONSERVE, ANTI_FTR","utility7, missile0, missile_bp",,Common,,Range Support,Medium,Excellent,,,,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD Pulser,hhe_pdpulser,1,,100,400,200,,,0,100,1,,,,FRAGMENTATION,,66.67,.1,.1,.2,.6,,,,,100000,,,,,PD,"pd1, beam1, base_bp",,Common,,Point Defense,,,,,,,,,,1989
Pulse Phaser,hhe_pulsephaser,1,,250,500,,25,,0,50,4,,,,HIGH_EXPLOSIVE,20,,0.15,0,1,0.15,0,4,.3333,4,,1000,,,,"PD, PD_ALSO, ANTI_FTR","energy7, hightech_bp",,Common,,Anti Fighter,,,,,Weapon will target missiles if no other targets are in range,,,,,1989
PD Streamer,hhe_pdlaserstreamer,2,,750,600,375,,,0,100,8,,,,FRAGMENTATION,,150,0.1,0.1,0.4,0.4,,,,,100000,,,,,PD,"pd9, beam7, hightech_bp",,Common,,Point Defense,,,,,,,,,,1989
IR Autopulse Laser,hhe_ir_autopulse,1,,4000,600,,50,,0,30,13,,,,ENERGY,40,,.11111,,,,,,,,,1000,,,,"PD, PD_ALSO, ANTI_FTR","energy18, hightech_bp",,Common,,Dual Purpose,,,,,Weapon will target missiles if no other targets are in range,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## FIGHTER WPNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet LMG,hhe_ftr_bonnetgun,,,1,400,,8,,1,100,,,,,KINETIC,0,,0,0.3,3,0.1,0,10,1,15,,500,,,5,SYSTEM,kinetic1,,Common,,General,,,,,,,,,,1989
Autogun,hhe_ftr_autogun,,,1,300,,15,,1,100,,,,,KINETIC,2,,0,0.3,3,0.1,0,5,1,15,,500,,,5,"SYSTEM, PD","pd2, kinetic1",,Common,,Point Defense,,,,,,,,,,1989
Vulcan Runt Cannon,hhe_ftr_vulcanrunt,,,1,250,,25,,1,100,,,,,FRAGMENTATION,0,,0,0.1,1,,0,15,1,15,,700,,,5,"SYSTEM, PD","pd2, SR",,Common,,Point Defense,,,,,,,,,,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proximity Mine,hhe_ftr_prox_mine,,,1,500,,100,,10,100,,1,0.2,,ENERGY,0,,0,5,1,0.1,0,0,0,0,,50,25,7.5,75,"SYSTEM, DO_NOT_AIM, ANTI_FTR, PD_ONLY","utility3, missile0",,Common,,Anti Fighter,,,,,,,,,TRUE,1989
Proximity Charge Launcher,hhe_ftr_phasecharge_mini,,,1,2000,,200,,15,50,,6,,,HIGH_EXPLOSIVE,0,,0,1.25,1,,0,0,0,0,,100,200,20,125,"SYSTEM, STRIKE","utility3, missile0",,Common,,Strike,,,,,,,,,TRUE,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nugget SRM,hhe_ftr_nugget,,,1,750,,40,,5,50,,1,0.134,,HIGH_EXPLOSIVE,0,,0,7.5,1,0.2,0,0,0,0,,400,100,5,35,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility3, missile0",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
Swarmer SRM (Single),hhe_ftr_srmsingle,,,1,750,,100,,5,50,,1,0.134,,HIGH_EXPLOSIVE,0,,0,7.5,1,0.2,0,0,0,0,,300,100,5,50,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility3, missile0",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
Swarmer SRM (Barrage),hhe_ftr_swarmer_sarissa,,,1,1000,,100,,5,50,,6,0.6,6,HIGH_EXPLOSIVE,0,,0,9,6,0.2,0,0,0,0,,250,50,7.5,50,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile0",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
Bright Missile,hhe_ftr_brightmissile,,,1,1000,,100,200,5,50,,2,0.125,,ENERGY,0,,0,5,2,0.2,0,0,0,0,,400,100,7.5,50,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility3, missile0",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
Micro Locust SRM,hhe_ftr_locust,,,1,1400,,200,,5,30,,6,.5,6,FRAGMENTATION,0,,0,5,6,0.075,0,0,0,0,,400,100,8,50,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility5, missile5",,Common,,Anti Small Craft,,,,,,,,,TRUE,1989
