name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
,,,,,,,,,,,,,,,,,,,
Jam-packed Racks,TADA_fullRacks,4,1,,special,,,,TRUE,,0,0,0,0,data.hullmods.TADA_fullRacks,"The ship's Missile Racks are already choke-full of ordinances, it is physically impossible to add any.

 Incompatible with:%s",,,graphics/hullmods/missile_autofactory.png
,,,,,,,,,,,,,,,,,,,
Destroyed Fighter Gantry,TADA_noDecks,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.TADA_noDecks,"A strikecraft autofab has been critically damaged and is no longer operable, reducing the number of available flight deck on the ship by one.",,,graphics/TORCHSHIPS/hullmods/TADA_destroyedDeck.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Lightweight Plating,TADA_lightArmor,1,,,"defensive, engines, merc, standard, special",Defenses,3000,FALSE,FALSE,FALSE,3,6,10,15,data.hullmods.TADA_lightArmor,"Replaces accessible portions of the ship's original armor with lighter alloys increaseing maneuverability and acceleration by %s and raising the ship's top speed by %s.

This weaker protection however reduces the armor rating by %s. The lack of hull integrated flux management systems reduces the ship's dissipation and capacity by %s.

Incompatible with:%s",Armor modification that increases a ship's top speed and acceleration at the cost of armor and flux performance.,Negates the flux capacity and dissipation penalties,graphics/TORCHSHIPS/hullmods/TADA_lightArmor.png
,,,,,,,,,,,,,,,,,,,
Minimal Preparation,TADA_minimalPrep,0,,,"req_spaceport, merc, standard, special","Logistics, Requires Dock",3000,FALSE,FALSE,FALSE,3,6,10,20,data.hullmods.TADA_minimalPrep,"Reduces the maintenance cost of the ship by %s but reduces the repair rate by %s both in and out of combat, decreases maximum combat readiness by %s, and reduces peak operating time by %s.

Was often used by stingy or poor cargo ship owners to cut their running costs before the Persean Sector became a more violent place.

Incompatible with:%s","Drastically reduces the maintenance cost of a ship as well as it's repair rate, CR and PPT.",Reduces maintenance cost by a further %s.,graphics/TORCHSHIPS/hullmods/TADA_minimalPrep.png
,,,,,,,,,,,,,,,,,,,
Reactive Armor,TADA_reactiveArmor,1,,,"defensive, merc, standard, special",Defenses,5000,FALSE,FALSE,FALSE,6,12,18,35,data.hullmods.TADA_reactiveArmor,"An antiquated method of protection that strengthens standardized armor and hulls against High Explosive impacts at the cost of being more vulnerable to Kinetic and Energy weapons.

%s High Explosive damage taken to armor and hull,
%s Kinetic damage taken to armor and hull,
%s Energy damage taken to armor and hull.

Incompatible with:%s",Reduces hull and armor damage from High Explosive impacts while increasing armor and hull damage from Kinetic and Energy impacts.,%s Energy damage taken to armor and hull instead.,graphics/TORCHSHIPS/hullmods/TADA_reactiveArmor.png
