name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TINNITUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pest,TADA_tinnitus,Light Frigate,Midline,maneuveringjets,4,1750,175,1750,,175,35,,170,170,150,90,180,150,FRONT,,180,0.4,0.8,,,10,15,20,20,1,,10,8000,8,10,240,0.25,3,3,,"midline_bp, ind, merc",,0.5,2,2,227
# CHALLENGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenger,TADA_challenger,Frigate,Low Tech,burndrive,5,2300,375,2250,,150,45,,100,75,75,50,100,300,FRONT,,120,0.4,1,,,30,45,50,30,1,,10,8500,8,10,300,0.25,4,4,,"lowtech_bp, ind, merc",,0.3,2,2,213
#LASHER TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasher TT,TADA_lasherTT,Frigate,High Tech,highenergyfocus,6,1250,200,2500,,225,50,,150,150,100,90,120,200,FRONT,,240,0.3,0.8,,,30,40,30,25,1,,10,13500,8,10,240,0.25,5,5,,rare_bp,,0.4,2,2,204
#TEMPEST MKII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest Mk.II,TADA_tempest_pirate,Modified Frigate,Pirate,flarelauncher,6,1000,180,2000,,200,35,1,175,150,125,90,180,200,FRONT,,120,0.3,1,,,25,30,15,10,1,,11,18000,10,20,180,0.25,5,5,,pirate_bp,,0.5,2,2,206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BULLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bully,TADA_bully,Destroyer,Low Tech,TADA_burn,9,4500,650,4500,,275,100,,50,40,20,25,20,450,FRONT,,150,0.35,1,,,75,125,125,125,2,,9,30000,5,15,420,0.25,8,8,,"lowtech_bp, ind, merc",,0.4,2,3,303
# SCINTILLA X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scintilla X,TADA_scintillaX,Drone Phaseship,Remnant,emp,13,2800,600,5000,,650,95,,90,60,40,30,30,400,PHASE,phasecloak,,,,0.15,0.05,0,0,60,100,2,,9,80000,5,20,240,0.25,15,15,UNBOARDABLE,"auto_rec, codex_unlockable",,0.5,2,3,314
