name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Hull Specifications,yna_hullspec,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_hullspec,Advanced deepspace and targeting sensor arrays with angular shaped alloys synchronized into a single hull. Ynadarian vessels are well-equipped for depth exploration and strategic planning.,Yellow faction as a hullmod.,,graphics/ynadar/hullmods/yna_hullmod.png
Spitroast Deckgun Package,yna_spitroast_package,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_spitroast_package,"The hull houses a large spinal mount underneath its hangar carriage, custom built to reduce ordinance costs of any large weapon by %s. Such an unusual design however takes a toll on Refit time for building wings taking them %s longer to finish.",Free guns.,,graphics/ynadar/hullmods/yna_spitroast.png
Jandor Nitro Reactor,yna_nitroreactor,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_nitroreactor,"A very powerful fusion-antimatter reactor that intices every component on the ship. Once activated, it floods the entire ship with stable energies, enforcing an overclocked state that increases its relative speed.",Reduces ordnance point cost of large weapons.,Ship relative time and peak readiness duration are increased to %s.,graphics/ynadar/hullmods/yna_nitroreactor.png
Strategic Bell Mount,yna_bellmount,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_bellmount,A dedicated weapon emplacement that improves the turn rate and reduces the ordnance point cost of the large non-missile weapon by %s and increases their range by %s. Range increment stacks additively with Range enhancement hullmods.,Just more speed.,,graphics/ynadar/hullmods/yna_weighbell.png
Ynadarian Autoloader,yna_missile_loader,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_missile_loader,<tooltip created in the script due to sections/other complexity>,Reloads missile weapons in small missile mounts,,graphics/ynadar/hullmods/yna_autoload.png
Integrated Autoslammer,yna_hailslam_loader,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_hailslam_loader,<tooltip created in the script due to sections/other complexity>,Reloads missile weapons in small missile mounts,,graphics/ynadar/hullmods/yna_autoload.png
Sentinel Ramparts,yna_guard_mod,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_guard_mod,"The Arsonguard is jampacked with small emplacements reinforced as ramparts, reducing the cost of Non-Missile Small weapons by %s.

With a properly designed flux network, all weapons on the ship have %s reduced flux generation.","Already has good flux dissipation, now gets better upgrades.",,graphics/ynadar/hullmods/yna_weighbell.png
Urgrand Design Plan,yna_urgrand,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_urgrand,"A strategic armament plan for the Urgrand in its databanks, allowing ease of installation of large weapons and advanced telemetry targeting computers.",Increases weapon range and reduces ordnance point cost of large weapons.,,graphics/ynadar/hullmods/yna_urgrand.png
Perilous Design Plan,yna_perilmod,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_perilmod,"Along with its gargantuan armored decks, the Perilstar comes with its titanic master plan that allows better use of its equipment and devastating weaponry.",The thing is just big.,,graphics/ynadar/hullmods/yna_urgrand.png
,,,,,,,,,,,,,,,,,,,
Ynadar Sustain Routines,yna_commission,,,Ynadar,,,,,TRUE,,0,0,0,0,data.hullmods.CHM_yna,"Reliable missile maintenance training among the crew improved the functionality of advanced missile launching systems.

Reduces Flux Generation of all Missile weapons by %s while all missiles have slightly better agility.",,,graphics/ynadar/hullmods/yna_commission.png
,,,,,,,,,,,,,,,,,,,
HULLMOD CONFLICT,yna_blockedhullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.bi.yna_blockedblankhullmod,%s: the hullmod you tried to install conflicts with this hull or another previously installed hullmod.,,,graphics/icons/intel/investigation.png
Linked,yna_LinkedHull,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.bi.yna_LinkedHull,"Haha, someone broke your engine and you can't fly now.","You gain some, you lose some.",,graphics/hullmods/vast_bulk.png
