name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Bellclap,yna_drone_torp,,Ynadar,,,600,150,150,,100,0,,125,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Copperback,yna_ftr_light,,Ynadar,,,300,50,400,,100,0,,325,400,300,150,300,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Hurlblade,yna_ftr_heavy,,Ynadar,flarelauncher_fighter,,850,100,200,,50,0,,150,200,120,100,200,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Beatdown,yna_bmr,,Ynadar,flarelauncher_fighter,,1200,150,1000,,150,0,,180,225,200,60,120,70,FRONT,,240,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderbull,yna_cinderbull,Armored Frigate,Ynadar,yna_hardener,4,2000,500,2000,,180,45,,110,120,100,45,90,150,OMNI,,90,0.3,0.8,,,10,25,40,40,1,40,10,16000,8,10,240,0.25,3,3,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.5,2,2,,200
Nitroknife,yna_nitroknife,Frigate,Ynadar,yna_multifeed,6,1500,250,2000,,150,45,,100,110,90,90,120,250,FRONT,,210,0.3,1,,,15,30,40,30,1,30,10,20000,8,20,300,0.25,6,6,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.4,2,2,,201
Pummeler,yna_pummeler,Missileboat,Ynadar,fastmissileracks,5,2000,300,3000,,200,45,,100,180,120,60,120,200,OMNI,,120,0.3,0.8,,,15,30,40,40,1,40,9,20000,8,10,300,0.25,4,4,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.4,2,2,,202
Maulsling,yna_maulsling,Heavy Frigate,Ynadar,ammofeed,8,3000,450,4000,,300,55,,120,110,90,60,80,300,FRONT,,240,0.2,1,,,25,40,50,40,1,40,10,25000,8,10,300,0.25,7,7,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.4,2,2,,203
Glarestruck,yna_glarestruck,Phase Frigate,Ynadar,microburn,10,2000,400,3000,,250,50,,150,120,100,75,90,200,PHASE,phasecloak,90,,,0.05,0.03,10,15,25,50,1,50,10,40000,10,30,240,0.25,9,9,,,,,,,,"rare_bp, ynadar_bp, ynadar",,0.5,2,2,,204
Clamcan,yna_clamcan,Tanker,Ynadar,flarelauncher,4,2000,250,2000,,150,35,,120,70,50,45,30,250,OMNI,,90,0.4,1,,,10,15,15,240,1,240,9,20000,8,20,240,0.25,5,5,,,,,,,"CIVILIAN, TANKER","ynadar_bp, ynadar",,0.7,2,3,,205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballpeinhead,yna_ballpeinhead,Destroyer,Ynadar,yna_multifeed,12,5000,500,4500,,280,105,,90,60,40,30,60,400,OMNI,,60,0.3,0.8,,,60,80,100,100,2,50,9,50000,5,12,360,0.25,13,13,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.5,2,3,,300
Spitroast,yna_spitroast,Light Carrier,Ynadar,canister_flak,13,5000,400,3000,,225,80,2,60,40,30,45,30,450,OMNI,,60,0.3,0.8,,,75,150,40,80,2,40,9,64000,5,15,360,0.25,15,15,,,,,,,CARRIER,"ynadar_standard_bp, ynadar_bp, ynadar",,0.5,2,3,,301
Flamedial,yna_flamedial,Destroyer,Ynadar,highenergyfocus,14,4000,400,9000,,600,90,,70,50,35,30,20,350,FRONT,,300,0.4,1.2,,,40,50,70,60,2,30,9,68000,5,15,300,0.25,13,13,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.5,2,3,,302
Quillpress,yna_quillpress,Destroyer,Ynadar,maneuveringjets,9,4500,350,5000,,250,95,,90,75,45,60,45,400,OMNI,,90,0.3,0.8,,,40,100,150,90,2,45,9,36000,4,8,360,0.25,9,9,,,,,,,,"ynadar_basic_bp, ynadar_bp, ynadar",,0.6,2,3,,303
Rockblaster,yna_rockblaster,Heavy Destroyer,Ynadar,yna_rangefinder,15,4500,750,5000,,250,90,,65,45,25,60,45,500,OMNI,,90,0.3,0.8,,,45,90,100,80,2,40,9,60000,5,10,420,0.25,15,15,,,,,,,,"ynadar_standard_bp, ynadar_bp, ynadar",,0.6,2,3,,304
Kindlebow,yna_kindlebow,Phase Destroyer,Ynadar,acausaldisruptor,16,3000,750,5000,,400,90,,90,75,45,45,45,350,PHASE,phasecloak,90,,,0.05,0.02,25,50,60,100,2,50,9,150000,5,30,300,0.25,20,20,,,,,,,,"rare_bp, ynadar_bp, ynadar",,0.5,2,3,,305
