name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Efeven Autogun,yna_ac_s,0,,300,900,,120,,5,20,8,,,,KINETIC,90,,0,1.2,1,,0,4,0.5,10,,1000,,,20,,,,"kinetic8, LR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Standoff / Anti Shield,,,,,,,,,,100
Theriphor Light Mauler,yna_maul_s,1,,500,900,,100,,4,20,8,,,,HIGH_EXPLOSIVE,75,,0,1.25,1,,0,4,0.5,10,,800,,,30,,,,"he6, LR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Standoff / Anti Armor,,,,,,,,,,3
Emabi Pocket Flak,yna_flak_s,1,,500,300,,80,,10,90,7,20,1.5,5,FRAGMENTATION,15,,0,0.25,1,,0,3,0.334,10,,2100,,,30,,,PD,"pd9, SR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Point Defense (Precise),,,,,,,,,,101
Efonzee Smartgun,yna_sg1_s,2,0.5,800,1000,,150,,5,20,10,,,,HIGH_EXPLOSIVE,105,,0,1.25,1,,0,4,1,10,,800,800,1.25,50,,,,"he6, LR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Anti Armor,Slow,Poor,,,Fires projectiles that can be intercepted like missiles.,,,,,102
Wonphorzi Volleygun,yna_vg1_s,3,0.25,1000,600,,360,,5,20,8,,,,FRAGMENTATION,120,,0,1.868,3,0.066,5,15,0.1,20,,500,,,20,,,,"kinetic8, ynadar, ynadar_arsenal_2_bp",,Ynadar,,Area Denial / Finisher,,,,,"Fires a total of %s pellets.
Each pellet deals %s damage.",27 | 40,,,,103
,yna_vg1_s_z,0,,1,600,,40,,5,20,0,,,,FRAGMENTATION,10,,0,1,1,,5,15,0.1,20,,500,,,20,,,SYSTEM,,,Ynadar,,,,,,,,,,,,103.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eksemve Autocannon,yna_ac_m,0,,1500,1000,,150,,15,7,14,,,,KINETIC,120,,0,2,3,0.2,0,8,1,10,,1000,,,30,,,,"kinetic14, LR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Standoff / Anti Shield,,,,,,,,,,110
Emasiten Autoflak,yna_flak_m,2,,2000,450,,100,,10,120,17,,,,FRAGMENTATION,20,,0,0.1334,1,,0,4,0.2,10,,1400,,,30,,,PD,"pd20, SR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Point Defense (Precise),,,,,,,,,,111
Eftuezee Smartcannon,yna_sg1_m,2,0.5,2500,1100,,150,,5,20,20,,,,HIGH_EXPLOSIVE,90,,0,0.8,2,0.2,0,4,1,10,,800,800,1.25,50,,,,"he12, LR, ynadar, ynadar_arsenal_1_bp",,Ynadar,,Anti Armor,Slow,Poor,,,Fires projectiles that can be intercepted like missiles.,,,,,112
