name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Onslaught(B),onslaught_beam,Battleship,Low Tech,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,rare_bp,,0.4,2,4,,500
Egret,test_egret,Carrier,Midline,targetingfeed,28,12000,800,13000,,600,260,6,55,20,15,8,4,2000,OMNI,,220,0.4,0.8,,,400,600,200,240,8,30,8,360000,3,12,720,0.25,48,48,,,,,,,"CARRIER, COMBAT",restricted,0.5,0.4,2,4,,
Conqueror,test_conqueror,Battleship,Midline,maneuveringjets,28,14000,1350,16000,,1000,360,2,50,16,12,8,8,3000,FRONT,,200,0.5,0.8,,,400,600,250,300,10,30,8,380000,3,12,720,0.25,45,45,,,,,,,,"rare_bp, merc",,0.5,2,5,,
Javelin,rwc_javelin,Cruiser,Midline,ammofeed,14,8000,900,11000,,650,155,,65,40,30,15,20,1300,FRONT,,240,0.4,0.8,,,200,300,100,100,3,33,8,100000,3,12,480,0.25,22,22,,,,,,,,"rare_bp, merc, ind, persean",,0.5,2,4,,
Polaris,rwc_polaris,Battlecarrier,Midline,fastmissileracks,14,8000,900,12000,,600,130,3,65,40,30,15,20,1600,FRONT,,270,0.4,0.8,,,300,600,200,160,4,40,8,150000,3,12,480,0.25,25,25,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","rare_bp, merc, ind, persean",,0.7,2,4,,
Egret,rwc_egret,Carrier,Midline,targetingfeed,28,12000,800,13000,,600,265,6,55,20,15,8,4,2000,OMNI,,220,0.4,0.8,,,400,600,200,240,8,30,8,360000,3,12,720,0.25,48,48,,,,,,,"CARRIER, COMBAT","rare_bp, persean, merc",0.5,0.4,2,4,,
Viper,rwc_viper,Frigate,Midline,ammofeed,7,2200,450,3000,,250,50,,125,160,100,60,120,275,FRONT,,260,0.4,0.8,,,20,40,40,20,1,20,9,15000,8,10,300,0.25,6,6,,,,,,,,"midline_bp, merc, ind",,0.5,2,2,,
Barrage,rwc_barrage,Dreadnought,Midline,forgevats,40,28000,1550,20000,,1200,400,2,30,10,10,4,4,3500,FRONT,,160,0.3,0.8,,,1000,2000,300,480,16,30,6,500000,3,12,900,0.25,60,60,,,,,,,,"rare_bp, merc",,0.3,3,5,,
Viking,rwc_viking,Frigate,Midline,forgevats,7,2100,400,2500,,180,55,,135,100,100,90,120,275,FRONT,,270,0.4,0.8,,,15,55,50,25,1,25,10,15000,8,10,300,0.25,7,7,,,,,,,,"midline_bp, merc, ind",,0.5,2,2,,
Warhawk,rwc_warhawk,Cruiser,Midline,rwc_plasmajets2,17,7000,850,10500,,750,175,,80,80,50,30,40,850,FRONT,,270,0.4,0.7,,,100,180,120,100,3,33,9,140000,4,12,480,0.25,26,26,,,,,,,,"rare_bp, merc, hist3t, ind",,0.5,2,3,,
Hurricane,rwc_hurricane,Destroyer,High Tech,highenergyfocus,10,2450,350,6000,,450,90,2,120,100,80,35,80,300,OMNI,,180,0.3,0.7,,,30,50,60,40,2,20,10,72000,5,18,300,0.25,12,12,,,,,,,,"rare_bp, hist1t, merc, ind, tritachyon",,0.5,2,2,,
Vulcan,rwc_vulcan,Battleship,Midline,burndrive,27,17000,1550,18000,,900,270,,45,35,10,6,4,3500,FRONT,,240,0.5,1,,,300,400,300,300,10,30,8,380000,4,12,720,0.25,45,45,,,,,,,,"rare_bp, merc, ind, hist3t",,0.3,3,4,,
Triumphant,rwc_triumphant,Battleship,Midline,rwc_dynamic_stabilizer,27,15500,1650,21000,,1000,320,,55,30,20,12,15,3200,OMNI,,200,0.4,1,,,450,750,300,400,10,40,8,350000,4,12,720,0.25,45,45,,,,,,,,"rare_bp, hist3t, merc, persean",,0.5,3,5,,
Eagle II,rwc_eagle_ii,Cruiser,Midline,maneuveringjets,14,8000,1000,11000,14000,700,155,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,22,22,,,,,,,,"rare_bp, merc, ind, persean, hegemony",,0.5,2,3,,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildcat,rwc_wildcat,,Midline,maneuveringjets,,600,100,550,,100,0,,250,400,300,150,300,40,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hrunting,rwc_hrunting,Battleship,Domain Restricted,rwc_overdrive,50,22000,2200,25000,,750,295,,45,35,35,20,20,4000,PHASE,phasecloak,90,,,0.05,0.05,1000,1800,400,500,10,50,7,35000000,3,20,700,0.25,65,65,,,,,,,," codex_unlockable, limited_tooltip_if_locked, no_dealer",,0,1,1,,
