name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Devastation Cannon,devastation,3,0.5,3500,900,,400,,40,12,20,,,,HIGH_EXPLOSIVE,400,,0,1,1,,0,5,1,1,,700,,,100,,,,"he18, rare_bp, merc, ind",,,A Devastator Cannon modified to fire much larger shells at a slower rate.  Compromise between the rapid fire of the Hephaestus and the raw striking power of the Hellbore.,Anti Armor,,,,,,,,,,1
Autopulse Beam,autopulsebeam,3,,4500,800,800,,,0,20,20,30,1,,ENERGY,,620,0,0,0.5,0.1,,,,,1000000,,,,,,,,"beam18, rare_bp",,,"Similar to the Autopulse Laser, but fires a beam.  Is the reason this mod exists.",General,,,,,,,,,,25
Thermal Pulse Beam Cannon,tpb,0,,100000,1000,3750,,,0,0,,,,,ENERGY,,3200,0.5,1,2,20,,,,,10000,,,,,,,"SYSTEM,SHOW_IN_CODEX",,TPC_only,,Highly modified Thermal Pulse Cannon that discharges the entire capacitor at once to produce a continuous beam.  ,General,,,,,,,,,,40
Plasma Beam,plasmabeam,3,,7500,800,1600,,,,20,30,,,,ENERGY,,1750,0.25,0.25,1,1,,,,,10000,,,,,,,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,,"Similar to the Plasma Cannon, but fires a beam.  Trades effectiveness against shields for the ability to burn through the thickest armor.",General,,,,,,,,,,23
Mjolnir Heavy Cannon,test_mjolnir,3,0.5,6000,900,,400,200,5,15,30,,,,ENERGY,480,,0,0.5,1,,0,5,1,10,,900,,,75,,,,"energy18, he17, kinetic17, remnant, rare_bp, hist1t, merc, persean",,,"Enlarged version of the Mjolnir.  Impressive damage output and rate of fire, but with an equally impressive flux cost.",General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachyon Accelerator,test_tachyon_accelerator,3,0.5,8000,1000,,1500,1000,0,7,25,,,,ENERGY,1800,,0.5,4,1,,,,,,,1000,,,200,,,FIRE_WHEN_INEFFICIENT,"energy18, he18, kinetic16, LR, rare_bp, hist1t, merc",,,"Modified Tachyon Lance, fires a projectile instead of a continuous beam.  Unable to pierce shields, but has a powerful disabling effect.",General,,,,,"Hits on hull or armor arc to weapons and engines, dealing extra EMP and  minor energy damage.",,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Mjolnir Cannon,rwc_light_mjolnir,2,0.75,4000,900,,400,200,5,20,15,,,,ENERGY,520,,0,1.5,1,,0,5,1,10,,900,,,75,,,,"energy14, kinetic13, he13, rare_bp, merc, persean, ind",,,"Cut-down Mjolnir variant.  Can be mounted on lighter vessels, but at a small loss in flux efficiency.",General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
